distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
1190.0,143.50114754412724,119143.50114754413,-119143.50114754413,-119055.50114754413,0.0
1200.0,143.5738332372291,120143.57383323723,-120143.57383323723,-120055.57383323723,0.0
1210.0,143.64591572260562,121143.6459157226,-121143.6459157226,-121055.6459157226,0.0
1220.0,143.7174049297716,122143.71740492978,-122143.71740492978,-122055.71740492978,0.0
1230.0,143.78831054506458,123143.78831054506,-123143.78831054506,-123055.78831054506,0.0
1240.0,143.85864201952134,124143.85864201952,-124143.85864201952,-124055.85864201952,0.0
1250.0,143.92840857643773,125143.92840857644,-125143.92840857644,-125055.92840857644,0.0
1260.0,143.99761921862788,126143.99761921863,-126143.99761921863,-126055.99761921863,0.0
1270.0,144.06628273539576,127144.0662827354,-127144.0662827354,-127056.0662827354,0.0
1280.0,144.13440770923398,128144.13440770924,-128144.13440770924,-128056.13440770924,0.0
1290.0,144.20200252226158,129144.20200252226,-129144.20200252226,-129056.20200252226,0.0
1300.0,144.26907536241336,130144.26907536242,-130144.26907536242,-130056.26907536242,0.0
1310.0,144.3356342293919,131144.33563422938,-131144.33563422938,-131056.33563422938,0.0
1320.0,144.40168694039363,132144.4016869404,-132144.4016869404,-132056.4016869404,0.0
1330.0,144.46724113561834,133144.46724113563,-133144.46724113563,-133056.46724113563,0.0
1340.0,144.53230428357278,134144.53230428358,-134144.53230428358,-134056.53230428358,0.0
1350.0,144.59688368617674,135144.59688368617,-135144.59688368617,-135056.59688368617,0.0
1360.0,144.66098648368097,136144.66098648368,-136144.66098648368,-136056.66098648368,0.0
1370.0,144.72461965940477,137144.7246196594,-137144.7246196594,-137056.7246196594,0.0
1380.0,144.78779004430135,138144.7877900443,-138144.7877900443,-138056.7877900443,0.0
1390.0,144.85050432135853,139144.85050432137,-139144.85050432137,-139056.85050432137,0.0
1400.0,144.91276902984137,140144.91276902985,-140144.91276902985,-140056.91276902985,0.0
1410.0,144.97459056938422,141144.97459056939,-141144.97459056939,-141056.97459056939,0.0
1420.0,145.03597520393777,142145.03597520394,-142145.03597520394,-142057.03597520394,0.0
1430.0,145.09692906557785,143145.0969290656,-143145.0969290656,-143057.0969290656,0.0
1440.0,145.1574581581816,144145.15745815818,-144145.15745815818,-144057.15745815818,0.0
1450.0,145.21756836097612,145145.21756836097,-145145.21756836097,-145057.21756836097,0.0
1460.0,145.27726543196536,146145.27726543197,-146145.27726543197,-146057.27726543197,0.0
1470.0,145.33655501124014,147145.33655501125,-147145.33655501125,-147057.33655501125,0.0
1480.0,145.39544262417576,148145.39544262417,-148145.39544262417,-148057.39544262417,0.0
1490.0,145.4539336845221,149145.45393368453,-149145.45393368453,-149057.45393368453,0.0
1500.0,145.51203349739023,150145.5120334974,-150145.5120334974,-150057.5120334974,0.0
1510.0,145.56974726214003,151145.56974726214,-151145.56974726214,-151057.56974726214,0.0
1520.0,145.62708007517207,152145.62708007518,-152145.62708007518,-152057.62708007518,0.0
1530.0,145.6840369326286,153145.68403693262,-153145.68403693262,-153057.68403693262,0.0
1540.0,145.7406227330059,154145.740622733,-154145.740622733,-154057.740622733,0.0
1550.0,145.79684227968247,155145.79684227967,-155145.79684227967,-155057.79684227967,0.0
1560.0,145.85270028336586,156145.85270028337,-156145.85270028337,-156057.85270028337,0.0
1570.0,145.9082013644613,157145.90820136445,-157145.90820136445,-157057.90820136445,0.0
