distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1070.0,142.5778838699808,160642.57788387,-160642.57788387,-160554.57788387,1e-10,0.0,1
1080.0,142.6586834260156,162142.658683426,-162142.658683426,-162054.658683426,1e-10,0.0,1
1090.0,142.7387382750891,163642.73873827507,-163642.73873827507,-163554.73873827507,1e-10,0.0,1
1100.0,142.81806201944113,165142.81806201945,-165142.81806201945,-165054.81806201945,1e-10,0.0,1
1110.0,142.89666789200976,166642.896667892,-166642.896667892,-166554.896667892,1e-10,0.0,1
1120.0,142.97456876968025,168142.97456876968,-168142.97456876968,-168054.97456876968,1e-10,0.0,1
1130.0,143.051777185945,169643.05177718596,-169643.05177718596,-169555.05177718596,1e-10,0.0,1
1140.0,143.12830534300608,171143.128305343,-171143.128305343,-171055.128305343,1e-10,0.0,1
1150.0,143.20416512334884,172643.20416512334,-172643.20416512334,-172555.20416512334,1e-10,0.0,1
1160.0,143.279368100815,174143.2793681008,-174143.2793681008,-174055.2793681008,1e-10,0.0,1
1170.0,143.35392555119986,175643.3539255512,-175643.3539255512,-175555.3539255512,1e-10,0.0,1
1180.0,143.42784846239914,177143.4278484624,-177143.4278484624,-177055.4278484624,1e-10,0.0,1
1190.0,143.50114754412724,178643.50114754413,-178643.50114754413,-178555.50114754413,1e-10,0.0,1
1200.0,143.5738332372291,180143.57383323723,-180143.57383323723,-180055.57383323723,1e-10,0.0,1
1210.0,143.64591572260562,181643.64591572262,-181643.64591572262,-181555.64591572262,1e-10,0.0,1
1220.0,143.7174049297716,183143.71740492978,-183143.71740492978,-183055.71740492978,1e-10,0.0,1
1230.0,143.78831054506458,184643.78831054506,-184643.78831054506,-184555.78831054506,1e-10,0.0,1
1240.0,143.85864201952134,186143.85864201954,-186143.85864201954,-186055.85864201954,1e-10,0.0,1
1250.0,143.92840857643773,187643.92840857644,-187643.92840857644,-187555.92840857644,1e-10,0.0,1
