distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
1110.0,1.11,1.3372093204022486,1.0469784654241996,0.30962284345742963,2.693810629283878
1120.0,1.12,1.3492562512166832,1.0643357816883252,0.30962284345742963,2.723214876362438
1130.0,1.13,1.3613031820311177,1.0818227273095837,0.30962284345742963,2.7527487527981314
1140.0,1.14,1.3733501128455523,1.0994391103824572,0.30962284345742963,2.7824120666854393
1150.0,1.15,1.385397043659987,1.1171847409726583,0.30962284345742963,2.812204628090075
1160.0,1.16,1.3974439744744218,1.1350594310798503,0.30962284345742963,2.842126249011702
1170.0,1.17,1.4094909052888565,1.153062994601394,0.30962284345742963,2.8721767433476804
1180.0,1.18,1.421537836103291,1.1711952472970781,0.30962284345742963,2.902355926857799
1190.0,1.19,1.4335847669177257,1.1894560067547968,0.30962284345742963,2.9326636171299523
1200.0,1.2,1.4456316977321604,1.2078450923571493,0.30962284345742963,2.9630996335467397
1210.0,1.21,1.4576786285465952,1.2263623252489184,0.30962284345742963,2.9936637972529434
1220.0,1.22,1.4697255593610299,1.245007528305405,0.30962284345742963,3.0243559311238646
1230.0,1.23,1.4817724901754645,1.2637805261015918,0.30962284345742963,3.055175859734486
1240.0,1.24,1.4938194209898992,1.282681144882095,0.30962284345742963,3.086123409329424
1250.0,1.25,1.5058663518043338,1.3017092125318943,0.30962284345742963,3.117198407793658
1260.0,1.26,1.5179132826187685,1.3208645585478027,0.30962284345742963,3.148400684624001
1270.0,1.27,1.5299602134332033,1.3401470140106533,0.30962284345742963,3.1797300709012863
1280.0,1.28,1.542007144247638,1.3595564115581924,0.30962284345742963,3.21118639926326
1290.0,1.29,1.5540540750620726,1.3790925853586289,0.30962284345742963,3.2427695038781312
1300.0,1.3,1.5661010058765072,1.3987553710848526,0.30962284345742963,3.27447922041879
1310.0,1.31,1.5781479366909419,1.418544605889269,0.30962284345742963,3.3063153860376406
1320.0,1.32,1.5901948675053765,1.4384601283792526,0.30962284345742963,3.338277839342059
1330.0,1.33,1.6022417983198114,1.4585017785931866,0.30962284345742963,3.3703664203704276
1340.0,1.34,1.614288729134246,1.4786693979770784,0.30962284345742963,3.402580970568754
