distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB
2620.0,150.35845092078813,16.768,167.12645092078813
2630.0,150.3915400641884,16.832,167.2235400641884
2640.0,150.42450363178983,16.896,167.32050363178985
2650.0,150.45734257312938,16.96,167.4173425731294
2660.0,150.4900578270146,17.024,167.5140578270146
2670.0,150.52265032168475,17.088,167.61065032168474
2680.0,150.55512097496904,17.152,167.70712097496903
2690.0,150.58747069444138,17.216,167.8034706944414
2700.0,150.619700377573,17.28,167.899700377573
2710.0,150.65181091188134,17.344,167.99581091188134
2720.0,150.68380317507723,17.408,168.09180317507725
2730.0,150.71567803520833,17.472,168.18767803520834
2740.0,150.74743635080102,17.536,168.28343635080103
2750.0,150.7790789709985,17.6,168.3790789709985
2760.0,150.8106067356976,17.663999999999998,168.4746067356976
2770.0,150.8420204756822,17.728,168.5700204756822
2780.0,150.87332101275473,17.791999999999998,168.66532101275473
2790.0,150.9045091598652,17.856,168.7605091598652
2800.0,150.9355857212376,17.919999999999998,168.8555857212376
2810.0,150.96655149249483,17.984,168.95055149249484
2820.0,150.99740726078045,18.048,169.04540726078045
2830.0,151.02815380487903,18.112000000000002,169.14015380487902
2840.0,151.05879189533397,18.176,169.23479189533396
2850.0,151.08932229456343,18.240000000000002,169.32932229456344
2860.0,151.1197457569741,18.304,169.4237457569741
2870.0,151.15006302907312,18.368000000000002,169.51806302907312
2880.0,151.18027484957787,18.432,169.61227484957786
2890.0,151.21038194952422,18.496000000000002,169.70638194952423
2900.0,151.24038505237235,18.56,169.80038505237235
2910.0,151.27028487411138,18.624000000000002,169.89428487411138
2920.0,151.30008212336162,18.688,169.9880821233616
2930.0,151.32977750147546,18.752000000000002,170.08177750147547
2940.0,151.3593717026364,18.816,170.1753717026364
2950.0,151.38886541395647,18.880000000000003,170.26886541395646
2960.0,151.41825931557202,18.944,170.362259315572
2970.0,151.44755408073746,19.008000000000003,170.45555408073747
2980.0,151.47675037591836,19.072,170.54875037591836
2990.0,151.50584886088183,19.136000000000003,170.64184886088182
3000.0,151.5348501887865,19.200000000000003,170.73485018878648
3010.0,151.56375500627013,19.264,170.82775500627014
3020.0,151.59256395353628,19.328000000000003,170.9205639535363
3030.0,151.62127766443933,19.392,171.01327766443933
3040.0,151.6498967665683,19.456000000000003,171.10589676656832
3050.0,151.67842188132897,19.52,171.19842188132898
3060.0,151.70685362402486,19.584000000000003,171.29085362402486
3070.0,151.73519260393698,19.648,171.38319260393698
3080.0,151.76343942440212,19.712000000000003,171.4754394244021
3090.0,151.79159468288992,19.776,171.56759468288993
3100.0,151.8196589710787,19.840000000000003,171.6596589710787
3110.0,151.84763287492996,19.904,171.75163287492995
3120.0,151.8755169747621,19.968000000000004,171.8435169747621
3130.0,151.9033118453222,20.032,171.93531184532222
3140.0,151.93101805585752,20.096000000000004,172.02701805585752
3150.0,151.95863617018523,20.16,172.11863617018523
3160.0,151.98616674676128,20.224000000000004,172.21016674676127
3170.0,152.01361033874826,20.288,172.30161033874828
3180.0,152.04096749408188,20.352000000000004,172.3929674940819
3190.0,152.06823875553687,20.416,172.48423875553686
3200.0,152.09542466079137,20.480000000000004,172.57542466079138
3210.0,152.12252574249067,20.544,172.66652574249068
3220.0,152.14954252830984,20.608000000000004,172.75754252830984
3230.0,152.1764755410153,20.672,172.8484755410153
3240.0,152.2033252985255,20.736000000000004,172.9393252985255
3250.0,152.23009231397072,20.8,173.03009231397073
3260.0,152.256777095752,20.864,173.120777095752
3270.0,152.28338014759896,20.928,173.21138014759896
3280.0,152.30990196862683,20.992,173.30190196862682
3290.0,152.33634305339274,21.056,173.39234305339275
3300.0,152.36270389195096,21.12,173.48270389195096
3310.0,152.38898496990765,21.184,173.57298496990765
3320.0,152.41518676847397,21.248,173.66318676847396
3330.0,152.44130976451964,21.312,173.75330976451966
3340.0,152.46735443062454,21.376,173.84335443062454
3350.0,152.49332123513017,21.44,173.93332123513017
3360.0,152.5192106421901,21.504,174.0232106421901
3370.0,152.54502311182,21.568,174.11302311182
3380.0,152.57075909994632,21.632,174.20275909994632
3390.0,152.5964190584549,21.696,174.2924190584549
3400.0,152.62200343523835,21.76,174.38200343523835
3410.0,152.64751267424316,21.824,174.47151267424317
3420.0,152.67294721551593,21.888,174.56094721551594
3430.0,152.69830749524863,21.952,174.65030749524863
3440.0,152.72359394582384,22.016000000000002,174.73959394582383
3450.0,152.74880699585873,22.080000000000002,174.82880699585874
3460.0,152.77394707024877,22.144000000000002,174.91794707024877
3470.0,152.79901459021073,22.208000000000002,175.00701459021073
3480.0,152.82400997332485,22.272000000000002,175.09600997332484
3490.0,152.84893363357685,22.336000000000002,175.18493363357686
3500.0,152.87378598139873,22.400000000000002,175.27378598139873
3510.0,152.89856742370972,22.464,175.36256742370972
3520.0,152.92327836395583,22.528000000000002,175.45127836395582
3530.0,152.9479192021497,22.592,175.5399192021497
3540.0,152.97249033490897,22.656000000000002,175.62849033490897
3550.0,152.9969921554951,22.72,175.7169921554951
3560.0,153.02142505385075,22.784000000000002,175.80542505385074
3570.0,153.0457894166371,22.848,175.8937894166371
3580.0,153.07008562727071,22.912000000000003,175.98208562727072
3590.0,153.09431406595962,22.976,176.07031406595962
3600.0,153.118475109739,23.040000000000003,176.158475109739
3610.0,153.14256913250637,23.104,176.24656913250635
3620.0,153.1665965050566,23.168000000000003,176.3345965050566
3630.0,153.19055759511548,23.232,176.42255759511548
3640.0,153.21445276737433,23.296000000000003,176.51045276737432
3650.0,153.23828238352274,23.36,176.59828238352276
3660.0,153.26204680228142,23.424000000000003,176.68604680228142
3670.0,153.285746379435,23.488,176.773746379435
3680.0,153.3093814678636,23.552000000000003,176.8613814678636
3690.0,153.33295241757446,23.616,176.94895241757445
3700.0,153.35645957573314,23.680000000000003,177.03645957573315
3710.0,153.37990328669417,23.744,177.12390328669417
3720.0,153.4032838920312,23.808000000000003,177.2112838920312
3730.0,153.42660173056703,23.872,177.29860173056704
3740.0,153.44985713840282,23.936000000000003,177.38585713840283
3750.0,153.47305044894762,24.0,177.47305044894762
3760.0,153.49618199294645,24.064,177.56018199294644
3770.0,153.51925209850907,24.128,177.64725209850906
3780.0,153.54226109113773,24.192,177.73426109113774
3790.0,153.56520929375466,24.256,177.82120929375466
3800.0,153.58809702672943,24.32,177.90809702672942
3810.0,153.61092460790564,24.384,177.99492460790566
3820.0,153.6336923526274,24.448,178.0816923526274
3830.0,153.65640057376567,24.512,178.16840057376567
3840.0,153.67904958174387,24.576,178.25504958174386
3850.0,153.70163968456325,24.64,178.34163968456323
3860.0,153.72417118782835,24.704,178.42817118782835
3870.0,153.74664439477147,24.768,178.51464439477147
3880.0,153.76905960627738,24.832,178.60105960627737
3890.0,153.7914171209074,24.896,178.6874171209074
3900.0,153.81371723492322,24.96,178.77371723492323
3910.0,153.8359602423106,25.024,178.8599602423106
3920.0,153.8581464348024,25.088,178.9461464348024
