distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
560.0,1.4049629462081452,6833.964564427812,-6803.964564427812,-6664.964564427812,0.001,0.0,1
570.0,1.4049629462081452,6955.999645935452,-6925.999645935452,-6786.999645935452,0.001,0.0,1
580.0,1.4049629462081452,7078.034727443091,-7048.034727443091,-6909.034727443091,0.001,0.0,1
590.0,1.4049629462081452,7200.0698089507305,-7170.0698089507305,-7031.0698089507305,0.001,0.0,1
600.0,1.4049629462081452,7322.10489045837,-7292.10489045837,-7153.10489045837,0.001,0.0,1
610.0,1.4049629462081452,7444.139971966009,-7414.139971966009,-7275.139971966009,0.001,0.0,1
620.0,1.4049629462081452,7566.175053473649,-7536.175053473649,-7397.175053473649,0.001,0.0,1
630.0,1.4049629462081452,7688.210134981288,-7658.210134981288,-7519.210134981288,0.001,0.0,1
640.0,1.4049629462081452,7810.245216488928,-7780.245216488928,-7641.245216488928,0.001,0.0,1
650.0,1.4049629462081452,7932.280297996567,-7902.280297996567,-7763.280297996567,0.001,0.0,1
660.0,1.4049629462081452,8054.315379504207,-8024.315379504207,-7885.315379504207,0.001,0.0,1
670.0,1.4049629462081452,8176.350461011846,-8146.350461011846,-8007.350461011846,0.001,0.0,1
680.0,1.4049629462081452,8298.385542519485,-8268.385542519485,-8129.385542519485,0.001,0.0,1
690.0,1.4049629462081452,8420.420624027125,-8390.420624027125,-8251.420624027125,0.001,0.0,1
700.0,1.4049629462081452,8542.455705534765,-8512.455705534765,-8373.455705534765,0.001,0.0,1
710.0,1.4049629462081452,8664.490787042405,-8634.490787042405,-8495.490787042405,0.001,0.0,1
720.0,1.4049629462081452,8786.525868550045,-8756.525868550045,-8617.525868550045,0.001,0.0,1
730.0,1.4049629462081452,8908.560950057683,-8878.560950057683,-8739.560950057683,0.001,0.0,1
740.0,1.4049629462081452,9030.596031565323,-9000.596031565323,-8861.596031565323,0.001,0.0,1
750.0,1.4049629462081452,9152.631113072963,-9122.631113072963,-8983.631113072963,0.001,0.0,1
760.0,1.4049629462081452,9274.666194580603,-9244.666194580603,-9105.666194580603,0.001,0.0,1
770.0,1.4049629462081452,9396.70127608824,-9366.70127608824,-9227.70127608824,0.001,0.0,1
780.0,1.4049629462081452,9518.73635759588,-9488.73635759588,-9349.73635759588,0.001,0.0,1
790.0,1.4049629462081452,9640.77143910352,-9610.77143910352,-9471.77143910352,0.001,0.0,1
800.0,1.4049629462081452,9762.80652061116,-9732.80652061116,-9593.80652061116,0.001,0.0,1
810.0,1.4049629462081452,9884.841602118799,-9854.841602118799,-9715.841602118799,0.001,0.0,1
820.0,1.4049629462081452,10006.876683626439,-9976.876683626439,-9837.876683626439,0.001,0.0,1
830.0,1.4049629462081452,10128.911765134078,-10098.911765134078,-9959.911765134078,0.001,0.0,1
840.0,1.4049629462081452,10250.946846641718,-10220.946846641718,-10081.946846641718,0.001,0.0,1
850.0,1.4049629462081452,10372.981928149358,-10342.981928149358,-10203.981928149358,0.001,0.0,1
860.0,1.4049629462081452,10495.017009656996,-10465.017009656996,-10326.017009656996,0.001,0.0,1
870.0,1.4049629462081452,10617.052091164636,-10587.052091164636,-10448.052091164636,0.001,0.0,1
880.0,1.4049629462081452,10739.087172672276,-10709.087172672276,-10570.087172672276,0.001,0.0,1
890.0,1.4049629462081452,10861.122254179916,-10831.122254179916,-10692.122254179916,0.001,0.0,1
900.0,1.4049629462081452,10983.157335687554,-10953.157335687554,-10814.157335687554,0.001,0.0,1
910.0,1.4049629462081452,11105.192417195194,-11075.192417195194,-10936.192417195194,0.001,0.0,1
