distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
790.0,1.0882796185405306,7467.709445648008,-7437.709445648008,-7298.709445648008,0.001,0.0,1
800.0,1.0882796185405306,7562.237413314439,-7532.237413314439,-7393.237413314439,0.001,0.0,1
810.0,1.0882796185405306,7656.76538098087,-7626.76538098087,-7487.76538098087,0.001,0.0,1
820.0,1.0882796185405306,7751.2933486473,-7721.2933486473,-7582.2933486473,0.001,0.0,1
830.0,1.0882796185405306,7845.821316313731,-7815.821316313731,-7676.821316313731,0.001,0.0,1
840.0,1.0882796185405306,7940.349283980161,-7910.349283980161,-7771.349283980161,0.001,0.0,1
850.0,1.0882796185405306,8034.8772516465915,-8004.8772516465915,-7865.8772516465915,0.001,0.0,1
860.0,1.0882796185405306,8129.405219313022,-8099.405219313022,-7960.405219313022,0.001,0.0,1
870.0,1.0882796185405306,8223.933186979453,-8193.933186979453,-8054.933186979453,0.001,0.0,1
880.0,1.0882796185405306,8318.461154645884,-8288.461154645884,-8149.461154645884,0.001,0.0,1
890.0,1.0882796185405306,8412.989122312314,-8382.989122312314,-8243.989122312314,0.001,0.0,1
900.0,1.0882796185405306,8507.517089978744,-8477.517089978744,-8338.517089978744,0.001,0.0,1
910.0,1.0882796185405306,8602.045057645175,-8572.045057645175,-8433.045057645175,0.001,0.0,1
920.0,1.0882796185405306,8696.573025311605,-8666.573025311605,-8527.573025311605,0.001,0.0,1
930.0,1.0882796185405306,8791.100992978036,-8761.100992978036,-8622.100992978036,0.001,0.0,1
940.0,1.0882796185405306,8885.628960644466,-8855.628960644466,-8716.628960644466,0.001,0.0,1
950.0,1.0882796185405306,8980.156928310897,-8950.156928310897,-8811.156928310897,0.001,0.0,1
960.0,1.0882796185405306,9074.684895977327,-9044.684895977327,-8905.684895977327,0.001,0.0,1
970.0,1.0882796185405306,9169.212863643757,-9139.212863643757,-9000.212863643757,0.001,0.0,1
980.0,1.0882796185405306,9263.740831310188,-9233.740831310188,-9094.740831310188,0.001,0.0,1
