distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
2930.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,1.5819989926154392,19.751352719739188,-8.177919070703524,25731248.23788922,1000000000.0,1000000000.0,3.8863252600684245e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
2940.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.5722155225651591,19.70949695233844,-8.2309490033997,18161709.039667785,1000000000.0,1000000000.0,5.506089750782023e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,rain
2950.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.25790055769959963,19.667743173429542,-8.283878446255017,20869444.167272873,1000000000.0,998508843.4239739,4.791694460019132e-09,1.0000000000000001e-11,3.167000153273208e-11,1,rain
2960.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.991261483283722,19.626090697373556,-8.336708079405753,14136855.161331987,1000000000.0,987225584.0537105,7.073709029256116e-09,1.0000000000000001e-11,3.203196626229587e-11,1,rain
2970.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.6046795879357489,19.584538845451775,-8.389438576106443,22078564.922723353,1000000000.0,976082229.9430803,4.5292798852646255e-09,1.0000000000000001e-11,3.2397656295338825e-11,1,rain
2980.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-5.0984568262386745,19.543086945773197,-8.442070602822497,7772373.871434092,1000000000.0,965076907.5410637,1.2866082056028123e-08,1.0000000000000001e-11,3.276710524786674e-11,1,rain
2990.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,1.3865678551235732,19.501734333182625,-8.49460481932124,24972172.37468328,1000000000.0,954207769.5778075,4.004457381584461e-09,1.0000000000000001e-11,3.3140347008152525e-11,1,rain
3000.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.6209631888819303,19.460480349171405,-8.54704187876112,22136468.009351164,1000000000.0,943472994.6986704,4.517432499067004e-09,1.0000000000000001e-11,3.3517415738840074e-11,1,rain
3010.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,2.3957515386534567,19.41932434178854,-8.599382427779972,29042436.756858468,1000000000.0,932870787.1026841,3.443237247521411e-09,1.0000000000000001e-11,3.3898345879066494e-11,1,rain
3020.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.2041459324621826,19.378265665554196,-8.651627106581316,19329810.59021868,1000000000.0,922399376.1855991,5.173356434780704e-09,1.0000000000000001e-11,3.4283172146596146e-11,1,rain
3030.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.14588341626037504,19.337303681373967,-8.703776549019636,19519455.24632346,1000000000.0,912057016.1872958,5.123093792222264e-09,1.0000000000000001e-11,3.4671929539972845e-11,1,rain
3040.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.6359860851274135,19.29643775645502,-8.755831382683795,22189977.61690033,1000000000.0,901841985.8437203,4.506539020744123e-09,1.0000000000000001e-11,3.506465334068366e-11,1,rain
3050.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.18466364876222485,19.25566726422329,-8.80779222897965,19393081.06405955,1000000000.0,891752588.0430858,5.156478213527718e-09,1.0000000000000001e-11,3.5461379115342595e-11,1,rain
3060.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.6335621755839895,19.214991584242284,-8.859659703210781,15080734.014076011,1000000000.0,881787149.4865279,6.630976974108972e-09,1.0000000000000001e-11,3.5862142717886054e-11,1,rain
3070.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.15220186998439544,19.174410102132924,-8.911434414658117,20510033.259501804,1000000000.0,871944020.3530493,4.875662498190851e-09,1.0000000000000001e-11,3.626698029178497e-11,1,rain
3080.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.7538401186134251,19.133922209494997,-8.963116966658504,22612735.207455285,1000000000.0,862221573.9686971,4.422286781434145e-09,1.0000000000000001e-11,3.6675928272274775e-11,1,rain
3090.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.352968043779498,19.093527303829745,-9.014707956681548,15854173.697126117,1000000000.0,852618206.4800737,6.307487347519536e-09,1.0000000000000001e-11,3.7089023388597835e-11,1,rain
3100.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.06864156722745918,19.053224788463524,-9.066207976405508,20228923.331968673,1000000000.0,843132336.5320061,4.943416827427762e-09,1.0000000000000001e-11,3.750630266626402e-11,1,rain
3110.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-2.2808282452815973,19.013014072473098,-9.117617611792014,13406815.374261511,1000000000.0,833762404.9493822,7.458892899500998e-09,1.0000000000000001e-11,3.792780342932782e-11,1,rain
3120.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,4.227337191854971,18.972894570611658,-9.168937443159336,37333228.86414247,1000000000.0,824506874.4231834,2.6785789239903443e-09,1.0000000000000001e-11,3.8353563302679265e-11,1,rain
3130.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-2.857632616338279,18.932865703236487,-9.220168045254695,12041327.039576653,1000000000.0,815364229.2005653,8.304732499277404e-09,1.0000000000000001e-11,3.878362021435348e-11,1,rain
3140.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.580337235051914,18.892926896237284,-9.271309987325225,15225200.735469526,1000000000.0,806332974.7790465,6.568057901991013e-09,1.0000000000000001e-11,3.92180123978548e-11,1,rain
3150.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.1213181919219153,18.853077580966243,-9.322363833188149,16514835.001035934,1000000000.0,797411637.6046741,6.055161919191276e-09,1.0000000000000001e-11,3.965677839449986e-11,1,rain
3160.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,1.5731175550115069,18.81331719416852,-9.373330141299448,25696444.377573475,1000000000.0,788598764.7742325,3.891588989147262e-09,1.0000000000000001e-11,4.009995705577482e-11,1,rain
3170.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,1.6739065017872008,18.77364517791453,-9.424209464821644,26093119.853684943,1000000000.0,779892923.7413791,3.832427879868023e-09,1.0000000000000001e-11,4.0547587545710626e-11,1,rain
3180.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.509010769065938,18.734060979532572,-9.475002351690478,18358619.497541275,1000000000.0,771292702.0267066,5.447032660238574e-09,1.0000000000000001e-11,4.0999709343274494e-11,1,rain
3190.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.4110340922940736,18.694564051543153,-9.52570934468065,21397721.018986978,1000000000.0,762796706.9316489,4.673394886832405e-09,1.0000000000000001e-11,4.145636224478009e-11,1,rain
3200.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.4629260562461468,18.655153851594065,-9.576330981470363,18503153.28008896,1000000000.0,754403565.2562603,5.4044842241894466e-09,1.0000000000000001e-11,4.1917586366313074e-11,1,rain
3210.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-0.47190963961384114,18.61582984239631,-9.626867794704907,18474914.859088186,1000000000.0,746111923.0207916,5.41274483605038e-09,1.0000000000000001e-11,4.238342214617386e-11,1,rain
3220.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.0809620091391565,18.57659149166136,-9.677320312059294,16631990.543450521,1000000000.0,737920445.1910052,6.012509431072206e-09,1.0000000000000001e-11,4.285391034733896e-11,1,rain
3230.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.7160982457463803,18.537438272039097,-9.727689056299937,14858776.841799257,1000000000.0,729827815.4072161,6.730029063946219e-09,1.0000000000000001e-11,4.332909205993949e-11,1,rain
3240.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.4321745488162918,18.498369661056984,-9.777974545345387,21471354.170690585,1000000000.0,721832735.7170223,4.657368101007096e-09,1.0000000000000001e-11,4.380900870375705e-11,1,rain
3250.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.08835085625861439,18.459385141059755,-9.828177292325819,20294987.848406184,1000000000.0,713933926.3117045,4.927324950719458e-09,1.0000000000000001e-11,4.429370203073561e-11,1,rain
3260.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-4.446644602934981,18.42048419915068,-9.878297805642347,8855141.311989784,1000000000.0,706130125.2661393,1.1292874554650063e-08,1.0000000000000001e-11,4.478321412751682e-11,1,rain
3270.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.6939756223145679,18.38166632713299,-9.928336589024497,14918023.082856005,1000000000.0,698420088.2824062,6.703301063726156e-09,1.0000000000000001e-11,4.527758741798549e-11,1,rain
3280.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.7211074060986533,18.342931021452827,-9.978294141587583,22494789.436742317,1000000000.0,690802588.4368048,4.445473929916543e-09,1.0000000000000001e-11,4.577686466584031e-11,1,rain
3290.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,2.1932642343327444,18.304277783142567,-10.028170957888705,28196126.76940789,1000000000.0,683276415.9304338,3.54658640946733e-09,1.0000000000000001e-11,4.6281088977178154e-11,1,rain
3300.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-2.307224015992361,18.265706117765305,-10.077967527982167,13341765.058710424,1000000000.0,675840377.8431844,7.495260151857727e-09,1.0000000000000001e-11,4.679030380309897e-11,1,rain
3310.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,1.1951222239110137,18.227215535360244,-10.127684337474022,24242383.333657403,1000000000.0,668493297.8911378,4.125006960894105e-09,1.0000000000000001e-11,4.730455294232952e-11,1,rain
3320.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.3556444676551678,18.18880555038851,-10.177321867575614,15846657.953304881,1000000000.0,661234016.1873713,6.3104788589915024e-09,1.0000000000000001e-11,4.7823880543863265e-11,1,rain
3330.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,2.640683012043283,18.150475681680177,-10.226880595156501,30085565.45638591,1000000000.0,654061389.006055,3.323853099752e-09,1.0000000000000001e-11,4.8348331109621645e-11,1,rain
3340.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-2.255453049746194,18.112225452381963,-10.276360992796612,13469585.213936325,1000000000.0,646974288.5498482,7.424133587761475e-09,1.0000000000000001e-11,4.8877949497134174e-11,1,rain
3350.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,0.16982988229736407,18.07405438990557,-10.325763528837427,20569677.669493962,1000000000.0,639971602.720579,4.8615248914816915e-09,1.0000000000000001e-11,4.9412780922235326e-11,1,rain
3360.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-1.6553072212129365,18.035962025877055,-10.375088667432635,15022013.248573298,1000000000.0,633052234.8931017,6.656897337612015e-09,1.0000000000000001e-11,4.995287096178354e-11,1,rain
3370.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,2.69869218437654,17.997947896086615,-10.424336868597749,30335699.1494361,1000000000.0,626215103.6923726,3.296446193885031e-09,1.0000000000000001e-11,5.0498265556396486e-11,1,rain
3380.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,2.275505068527437,17.960011540439496,-10.473508588259278,28538092.509232905,1000000000.0,619459142.7736241,3.5040884378536195e-09,1.0000000000000001e-11,5.1049011013209084e-11,1,rain
3390.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-3.8996666647799003,17.92215250290731,-10.52260427830305,9860885.088496568,1000000000.0,612783300.6056727,1.0141077510035808e-08,1.0000000000000001e-11,5.160515400864866e-11,1,rain
3400.0,34.23928754067932,74.7857717840639,6.335381346011616,5e-15,-4.925114030401076,17.884370331480284,-10.57162438662175,8048502.027572372,1000000000.0,606186540.2572794,1.2424672275340469e-08,1.0000000000000001e-11,5.2166741591230915e-11,1,rain
