distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1200.0,1.5390597961942367,16041.928067691768,-16011.928067691768,-15872.928067691768,0.001,0.0,1
1210.0,1.5390597961942367,16175.610801589199,-16145.610801589199,-16006.610801589199,0.001,0.0,1
1220.0,1.5390597961942367,16309.29353548663,-16279.29353548663,-16140.29353548663,0.001,0.0,1
1230.0,1.5390597961942367,16442.97626938406,-16412.97626938406,-16273.97626938406,0.001,0.0,1
1240.0,1.5390597961942367,16576.659003281493,-16546.659003281493,-16407.659003281493,0.001,0.0,1
1250.0,1.5390597961942367,16710.341737178926,-16680.341737178926,-16541.341737178926,0.001,0.0,1
1260.0,1.5390597961942367,16844.024471076355,-16814.024471076355,-16675.024471076355,0.001,0.0,1
1270.0,1.5390597961942367,16977.707204973787,-16947.707204973787,-16808.707204973787,0.001,0.0,1
1280.0,1.5390597961942367,17111.38993887122,-17081.38993887122,-16942.38993887122,0.001,0.0,1
1290.0,1.5390597961942367,17245.07267276865,-17215.07267276865,-17076.07267276865,0.001,0.0,1
1300.0,1.5390597961942367,17378.75540666608,-17348.75540666608,-17209.75540666608,0.001,0.0,1
1310.0,1.5390597961942367,17512.438140563514,-17482.438140563514,-17343.438140563514,0.001,0.0,1
1320.0,1.5390597961942367,17646.120874460943,-17616.120874460943,-17477.120874460943,0.001,0.0,1
1330.0,1.5390597961942367,17779.803608358376,-17749.803608358376,-17610.803608358376,0.001,0.0,1
1340.0,1.5390597961942367,17913.48634225581,-17883.48634225581,-17744.48634225581,0.001,0.0,1
1350.0,1.5390597961942367,18047.169076153237,-18017.169076153237,-17878.169076153237,0.001,0.0,1
1360.0,1.5390597961942367,18180.85181005067,-18150.85181005067,-18011.85181005067,0.001,0.0,1
1370.0,1.5390597961942367,18314.534543948103,-18284.534543948103,-18145.534543948103,0.001,0.0,1
1380.0,1.5390597961942367,18448.21727784553,-18418.21727784553,-18279.21727784553,0.001,0.0,1
1390.0,1.5390597961942367,18581.900011742964,-18551.900011742964,-18412.900011742964,0.001,0.0,1
1400.0,1.5390597961942367,18715.582745640397,-18685.582745640397,-18546.582745640397,0.001,0.0,1
1410.0,1.5390597961942367,18849.265479537826,-18819.265479537826,-18680.265479537826,0.001,0.0,1
1420.0,1.5390597961942367,18982.94821343526,-18952.94821343526,-18813.94821343526,0.001,0.0,1
1430.0,1.5390597961942367,19116.63094733269,-19086.63094733269,-18947.63094733269,0.001,0.0,1
1440.0,1.5390597961942367,19250.31368123012,-19220.31368123012,-19081.31368123012,0.001,0.0,1
