distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1870.0,1.0,8122.41,-8112.41,-8013.41,1e-09,0.0,1
1880.0,1.0,8165.84,-8155.84,-8056.84,1e-09,0.0,1
1890.0,1.0,8209.27,-8199.27,-8100.27,1e-09,0.0,1
1900.0,1.0,8252.7,-8242.7,-8143.700000000001,1e-09,0.0,1
1910.0,1.0,8296.13,-8286.13,-8187.129999999999,1e-09,0.0,1
1920.0,1.0,8339.56,-8329.56,-8230.56,1e-09,0.0,1
1930.0,1.0,8382.99,-8372.99,-8273.99,1e-09,0.0,1
1940.0,1.0,8426.42,-8416.42,-8317.42,1e-09,0.0,1
1950.0,1.0,8469.85,-8459.85,-8360.85,1e-09,0.0,1
1960.0,1.0,8513.28,-8503.28,-8404.28,1e-09,0.0,1
1970.0,1.0,8556.71,-8546.71,-8447.71,1e-09,0.0,1
1980.0,1.0,8600.14,-8590.14,-8491.14,1e-09,0.0,1
1990.0,1.0,8643.57,-8633.57,-8534.57,1e-09,0.0,1
2000.0,1.0,8687.0,-8677.0,-8578.0,1e-09,0.0,1
2010.0,1.0,8730.43,-8720.43,-8621.43,1e-09,0.0,1
2020.0,1.0,8773.86,-8763.86,-8664.86,1e-09,0.0,1
2030.0,1.0,8817.289999999999,-8807.289999999999,-8708.289999999999,1e-09,0.0,1
2040.0,1.0,8860.72,-8850.72,-8751.72,1e-09,0.0,1
2050.0,1.0,8904.15,-8894.15,-8795.15,1e-09,0.0,1
2060.0,1.0,8947.58,-8937.58,-8838.58,1e-09,0.0,1
2070.0,1.0,8991.01,-8981.01,-8882.01,1e-09,0.0,1
2080.0,1.0,9034.44,-9024.44,-8925.44,1e-09,0.0,1
2090.0,1.0,9077.87,-9067.87,-8968.87,1e-09,0.0,1
2100.0,1.0,9121.3,-9111.3,-9012.3,1e-09,0.0,1
2110.0,1.0,9164.73,-9154.73,-9055.73,1e-09,0.0,1
2120.0,1.0,9208.16,-9198.16,-9099.16,1e-09,0.0,1
2130.0,1.0,9251.59,-9241.59,-9142.59,1e-09,0.0,1
2140.0,1.0,9295.02,-9285.02,-9186.02,1e-09,0.0,1
2150.0,1.0,9338.45,-9328.45,-9229.45,1e-09,0.0,1
2160.0,1.0,9381.88,-9371.88,-9272.88,1e-09,0.0,1
2170.0,1.0,9425.31,-9415.31,-9316.31,1e-09,0.0,1
2180.0,1.0,9468.74,-9458.74,-9359.74,1e-09,0.0,1
2190.0,1.0,9512.17,-9502.17,-9403.17,1e-09,0.0,1
2200.0,1.0,9555.6,-9545.6,-9446.6,1e-09,0.0,1
2210.0,1.0,9599.03,-9589.03,-9490.03,1e-09,0.0,1
2220.0,1.0,9642.46,-9632.46,-9533.46,1e-09,0.0,1
2230.0,1.0,9685.89,-9675.89,-9576.89,1e-09,0.0,1
2240.0,1.0,9729.32,-9719.32,-9620.32,1e-09,0.0,1
2250.0,1.0,9772.75,-9762.75,-9663.75,1e-09,0.0,1
2260.0,1.0,9816.18,-9806.18,-9707.18,1e-09,0.0,1
2270.0,1.0,9859.61,-9849.61,-9750.61,1e-09,0.0,1
2280.0,1.0,9903.039999999999,-9893.039999999999,-9794.039999999999,1e-09,0.0,1
2290.0,1.0,9946.47,-9936.47,-9837.47,1e-09,0.0,1
2300.0,1.0,9989.9,-9979.9,-9880.9,1e-09,0.0,1
2310.0,1.0,10033.33,-10023.33,-9924.33,1e-09,0.0,1
2320.0,1.0,10076.76,-10066.76,-9967.76,1e-09,0.0,1
2330.0,1.0,10120.19,-10110.19,-10011.19,1e-09,0.0,1
2340.0,1.0,10163.62,-10153.62,-10054.62,1e-09,0.0,1
2350.0,1.0,10207.05,-10197.05,-10098.05,1e-09,0.0,1
2360.0,1.0,10250.48,-10240.48,-10141.48,1e-09,0.0,1
2370.0,1.0,10293.91,-10283.91,-10184.91,1e-09,0.0,1
2380.0,1.0,10337.34,-10327.34,-10228.34,1e-09,0.0,1
2390.0,1.0,10380.77,-10370.77,-10271.77,1e-09,0.0,1
2400.0,1.0,10424.2,-10414.2,-10315.2,1e-09,0.0,1
2410.0,1.0,10467.63,-10457.63,-10358.63,1e-09,0.0,1
2420.0,1.0,10511.06,-10501.06,-10402.06,1e-09,0.0,1
2430.0,1.0,10554.49,-10544.49,-10445.49,1e-09,0.0,1
2440.0,1.0,10597.92,-10587.92,-10488.92,1e-09,0.0,1
2450.0,1.0,10641.35,-10631.35,-10532.35,1e-09,0.0,1
2460.0,1.0,10684.78,-10674.78,-10575.78,1e-09,0.0,1
2470.0,1.0,10728.21,-10718.21,-10619.21,1e-09,0.0,1
2480.0,1.0,10771.64,-10761.64,-10662.64,1e-09,0.0,1
2490.0,1.0,10815.07,-10805.07,-10706.07,1e-09,0.0,1
2500.0,1.0,10858.5,-10848.5,-10749.5,1e-09,0.0,1
2510.0,1.0,10901.93,-10891.93,-10792.93,1e-09,0.0,1
2520.0,1.0,10945.36,-10935.36,-10836.36,1e-09,0.0,1
2530.0,1.0,10988.789999999999,-10978.789999999999,-10879.789999999999,1e-09,0.0,1
2540.0,1.0,11032.22,-11022.22,-10923.22,1e-09,0.0,1
2550.0,1.0,11075.65,-11065.65,-10966.65,1e-09,0.0,1
2560.0,1.0,11119.08,-11109.08,-11010.08,1e-09,0.0,1
2570.0,1.0,11162.51,-11152.51,-11053.51,1e-09,0.0,1
2580.0,1.0,11205.94,-11195.94,-11096.94,1e-09,0.0,1
2590.0,1.0,11249.37,-11239.37,-11140.37,1e-09,0.0,1
2600.0,1.0,11292.8,-11282.8,-11183.8,1e-09,0.0,1
2610.0,1.0,11336.23,-11326.23,-11227.23,1e-09,0.0,1
2620.0,1.0,11379.66,-11369.66,-11270.66,1e-09,0.0,1
2630.0,1.0,11423.09,-11413.09,-11314.09,1e-09,0.0,1
2640.0,1.0,11466.52,-11456.52,-11357.52,1e-09,0.0,1
2650.0,1.0,11509.95,-11499.95,-11400.95,1e-09,0.0,1
2660.0,1.0,11553.38,-11543.38,-11444.38,1e-09,0.0,1
2670.0,1.0,11596.81,-11586.81,-11487.81,1e-09,0.0,1
2680.0,1.0,11640.24,-11630.24,-11531.24,1e-09,0.0,1
2690.0,1.0,11683.67,-11673.67,-11574.67,1e-09,0.0,1
2700.0,1.0,11727.1,-11717.1,-11618.1,1e-09,0.0,1
2710.0,1.0,11770.53,-11760.53,-11661.53,1e-09,0.0,1
2720.0,1.0,11813.96,-11803.96,-11704.96,1e-09,0.0,1
2730.0,1.0,11857.39,-11847.39,-11748.39,1e-09,0.0,1
2740.0,1.0,11900.82,-11890.82,-11791.82,1e-09,0.0,1
2750.0,1.0,11944.25,-11934.25,-11835.25,1e-09,0.0,1
2760.0,1.0,11987.68,-11977.68,-11878.68,1e-09,0.0,1
2770.0,1.0,12031.11,-12021.11,-11922.11,1e-09,0.0,1
2780.0,1.0,12074.539999999999,-12064.539999999999,-11965.539999999999,1e-09,0.0,1
2790.0,1.0,12117.97,-12107.97,-12008.97,1e-09,0.0,1
2800.0,1.0,12161.4,-12151.4,-12052.4,1e-09,0.0,1
2810.0,1.0,12204.83,-12194.83,-12095.83,1e-09,0.0,1
2820.0,1.0,12248.26,-12238.26,-12139.26,1e-09,0.0,1
2830.0,1.0,12291.69,-12281.69,-12182.69,1e-09,0.0,1
2840.0,1.0,12335.12,-12325.12,-12226.12,1e-09,0.0,1
2850.0,1.0,12378.55,-12368.55,-12269.55,1e-09,0.0,1
2860.0,1.0,12421.98,-12411.98,-12312.98,1e-09,0.0,1
2870.0,1.0,12465.41,-12455.41,-12356.41,1e-09,0.0,1
2880.0,1.0,12508.84,-12498.84,-12399.84,1e-09,0.0,1
2890.0,1.0,12552.27,-12542.27,-12443.27,1e-09,0.0,1
2900.0,1.0,12595.7,-12585.7,-12486.7,1e-09,0.0,1
2910.0,1.0,12639.13,-12629.13,-12530.13,1e-09,0.0,1
2920.0,1.0,12682.56,-12672.56,-12573.56,1e-09,0.0,1
2930.0,1.0,12725.99,-12715.99,-12616.99,1e-09,0.0,1
2940.0,1.0,12769.42,-12759.42,-12660.42,1e-09,0.0,1
2950.0,1.0,12812.85,-12802.85,-12703.85,1e-09,0.0,1
2960.0,1.0,12856.28,-12846.28,-12747.28,1e-09,0.0,1
