distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1870.0,1.2566370614359172,20411.329594232546,-20381.329594232546,-20242.329594232546,0.001,0.0,1
1880.0,1.2566370614359172,20520.481089388868,-20490.481089388868,-20351.481089388868,0.001,0.0,1
1890.0,1.2566370614359172,20629.632584545194,-20599.632584545194,-20460.632584545194,0.001,0.0,1
1900.0,1.2566370614359172,20738.784079701516,-20708.784079701516,-20569.784079701516,0.001,0.0,1
1910.0,1.2566370614359172,20847.935574857842,-20817.935574857842,-20678.935574857842,0.001,0.0,1
1920.0,1.2566370614359172,20957.087070014164,-20927.087070014164,-20788.087070014164,0.001,0.0,1
1930.0,1.2566370614359172,21066.238565170486,-21036.238565170486,-20897.238565170486,0.001,0.0,1
1940.0,1.2566370614359172,21175.390060326812,-21145.390060326812,-21006.390060326812,0.001,0.0,1
1950.0,1.2566370614359172,21284.541555483134,-21254.541555483134,-21115.541555483134,0.001,0.0,1
1960.0,1.2566370614359172,21393.69305063946,-21363.69305063946,-21224.69305063946,0.001,0.0,1
1970.0,1.2566370614359172,21502.844545795782,-21472.844545795782,-21333.844545795782,0.001,0.0,1
1980.0,1.2566370614359172,21611.996040952108,-21581.996040952108,-21442.996040952108,0.001,0.0,1
1990.0,1.2566370614359172,21721.14753610843,-21691.14753610843,-21552.14753610843,0.001,0.0,1
2000.0,1.2566370614359172,21830.299031264756,-21800.299031264756,-21661.299031264756,0.001,0.0,1
2010.0,1.2566370614359172,21939.45052642108,-21909.45052642108,-21770.45052642108,0.001,0.0,1
2020.0,1.2566370614359172,22048.6020215774,-22018.6020215774,-21879.6020215774,0.001,0.0,1
2030.0,1.2566370614359172,22157.753516733726,-22127.753516733726,-21988.753516733726,0.001,0.0,1
2040.0,1.2566370614359172,22266.90501189005,-22236.90501189005,-22097.90501189005,0.001,0.0,1
2050.0,1.2566370614359172,22376.056507046374,-22346.056507046374,-22207.056507046374,0.001,0.0,1
2060.0,1.2566370614359172,22485.208002202697,-22455.208002202697,-22316.208002202697,0.001,0.0,1
2070.0,1.2566370614359172,22594.359497359022,-22564.359497359022,-22425.359497359022,0.001,0.0,1
2080.0,1.2566370614359172,22703.510992515345,-22673.510992515345,-22534.510992515345,0.001,0.0,1
2090.0,1.2566370614359172,22812.662487671667,-22782.662487671667,-22643.662487671667,0.001,0.0,1
2100.0,1.2566370614359172,22921.813982827993,-22891.813982827993,-22752.813982827993,0.001,0.0,1
2110.0,1.2566370614359172,23030.965477984315,-23000.965477984315,-22861.965477984315,0.001,0.0,1
2120.0,1.2566370614359172,23140.11697314064,-23110.11697314064,-22971.11697314064,0.001,0.0,1
2130.0,1.2566370614359172,23249.268468296963,-23219.268468296963,-23080.268468296963,0.001,0.0,1
2140.0,1.2566370614359172,23358.41996345329,-23328.41996345329,-23189.41996345329,0.001,0.0,1
2150.0,1.2566370614359172,23467.57145860961,-23437.57145860961,-23298.57145860961,0.001,0.0,1
2160.0,1.2566370614359172,23576.722953765933,-23546.722953765933,-23407.722953765933,0.001,0.0,1
2170.0,1.2566370614359172,23685.87444892226,-23655.87444892226,-23516.87444892226,0.001,0.0,1
2180.0,1.2566370614359172,23795.02594407858,-23765.02594407858,-23626.02594407858,0.001,0.0,1
2190.0,1.2566370614359172,23904.177439234907,-23874.177439234907,-23735.177439234907,0.001,0.0,1
2200.0,1.2566370614359172,24013.32893439123,-23983.32893439123,-23844.32893439123,0.001,0.0,1
2210.0,1.2566370614359172,24122.480429547555,-24092.480429547555,-23953.480429547555,0.001,0.0,1
2220.0,1.2566370614359172,24231.631924703877,-24201.631924703877,-24062.631924703877,0.001,0.0,1
2230.0,1.2566370614359172,24340.7834198602,-24310.7834198602,-24171.7834198602,0.001,0.0,1
2240.0,1.2566370614359172,24449.934915016525,-24419.934915016525,-24280.934915016525,0.001,0.0,1
2250.0,1.2566370614359172,24559.086410172848,-24529.086410172848,-24390.086410172848,0.001,0.0,1
2260.0,1.2566370614359172,24668.237905329173,-24638.237905329173,-24499.237905329173,0.001,0.0,1
2270.0,1.2566370614359172,24777.389400485496,-24747.389400485496,-24608.389400485496,0.001,0.0,1
2280.0,1.2566370614359172,24886.54089564182,-24856.54089564182,-24717.54089564182,0.001,0.0,1
2290.0,1.2566370614359172,24995.692390798144,-24965.692390798144,-24826.692390798144,0.001,0.0,1
