distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1610.0,0.5,3497.115,-3487.115,-3388.115,1e-09,0.0,1
1620.0,0.5,3518.83,-3508.83,-3409.83,1e-09,0.0,1
1630.0,0.5,3540.545,-3530.545,-3431.545,1e-09,0.0,1
1640.0,0.5,3562.2599999999998,-3552.2599999999998,-3453.2599999999998,1e-09,0.0,1
1650.0,0.5,3583.975,-3573.975,-3474.975,1e-09,0.0,1
1660.0,0.5,3605.69,-3595.69,-3496.69,1e-09,0.0,1
1670.0,0.5,3627.405,-3617.405,-3518.405,1e-09,0.0,1
1680.0,0.5,3649.12,-3639.12,-3540.12,1e-09,0.0,1
1690.0,0.5,3670.835,-3660.835,-3561.835,1e-09,0.0,1
1700.0,0.5,3692.55,-3682.55,-3583.55,1e-09,0.0,1
1710.0,0.5,3714.265,-3704.265,-3605.265,1e-09,0.0,1
1720.0,0.5,3735.98,-3725.98,-3626.98,1e-09,0.0,1
1730.0,0.5,3757.695,-3747.695,-3648.695,1e-09,0.0,1
1740.0,0.5,3779.41,-3769.41,-3670.41,1e-09,0.0,1
1750.0,0.5,3801.125,-3791.125,-3692.125,1e-09,0.0,1
1760.0,0.5,3822.84,-3812.84,-3713.84,1e-09,0.0,1
1770.0,0.5,3844.555,-3834.555,-3735.555,1e-09,0.0,1
1780.0,0.5,3866.27,-3856.27,-3757.27,1e-09,0.0,1
1790.0,0.5,3887.985,-3877.985,-3778.985,1e-09,0.0,1
1800.0,0.5,3909.7,-3899.7,-3800.7,1e-09,0.0,1
1810.0,0.5,3931.415,-3921.415,-3822.415,1e-09,0.0,1
1820.0,0.5,3953.13,-3943.13,-3844.13,1e-09,0.0,1
1830.0,0.5,3974.845,-3964.845,-3865.845,1e-09,0.0,1
1840.0,0.5,3996.56,-3986.56,-3887.56,1e-09,0.0,1
1850.0,0.5,4018.275,-4008.275,-3909.275,1e-09,0.0,1
1860.0,0.5,4039.99,-4029.99,-3930.99,1e-09,0.0,1
1870.0,0.5,4061.705,-4051.705,-3952.705,1e-09,0.0,1
1880.0,0.5,4083.42,-4073.42,-3974.42,1e-09,0.0,1
1890.0,0.5,4105.135,-4095.135,-3996.135,1e-09,0.0,1
1900.0,0.5,4126.85,-4116.85,-4017.8500000000004,1e-09,0.0,1
1910.0,0.5,4148.565,-4138.565,-4039.5649999999996,1e-09,0.0,1
1920.0,0.5,4170.28,-4160.28,-4061.2799999999997,1e-09,0.0,1
1930.0,0.5,4191.995,-4181.995,-4082.995,1e-09,0.0,1
1940.0,0.5,4213.71,-4203.71,-4104.71,1e-09,0.0,1
1950.0,0.5,4235.425,-4225.425,-4126.425,1e-09,0.0,1
1960.0,0.5,4257.14,-4247.14,-4148.14,1e-09,0.0,1
1970.0,0.5,4278.855,-4268.855,-4169.855,1e-09,0.0,1
1980.0,0.5,4300.57,-4290.57,-4191.57,1e-09,0.0,1
1990.0,0.5,4322.285,-4312.285,-4213.285,1e-09,0.0,1
2000.0,0.5,4344.0,-4334.0,-4235.0,1e-09,0.0,1
2010.0,0.5,4365.715,-4355.715,-4256.715,1e-09,0.0,1
2020.0,0.5,4387.43,-4377.43,-4278.43,1e-09,0.0,1
2030.0,0.5,4409.1449999999995,-4399.1449999999995,-4300.1449999999995,1e-09,0.0,1
2040.0,0.5,4430.86,-4420.86,-4321.86,1e-09,0.0,1
2050.0,0.5,4452.575,-4442.575,-4343.575,1e-09,0.0,1
2060.0,0.5,4474.29,-4464.29,-4365.29,1e-09,0.0,1
2070.0,0.5,4496.005,-4486.005,-4387.005,1e-09,0.0,1
2080.0,0.5,4517.72,-4507.72,-4408.72,1e-09,0.0,1
2090.0,0.5,4539.435,-4529.435,-4430.435,1e-09,0.0,1
2100.0,0.5,4561.15,-4551.15,-4452.15,1e-09,0.0,1
2110.0,0.5,4582.865,-4572.865,-4473.865,1e-09,0.0,1
2120.0,0.5,4604.58,-4594.58,-4495.58,1e-09,0.0,1
2130.0,0.5,4626.295,-4616.295,-4517.295,1e-09,0.0,1
2140.0,0.5,4648.01,-4638.01,-4539.01,1e-09,0.0,1
2150.0,0.5,4669.725,-4659.725,-4560.725,1e-09,0.0,1
2160.0,0.5,4691.44,-4681.44,-4582.44,1e-09,0.0,1
2170.0,0.5,4713.155,-4703.155,-4604.155,1e-09,0.0,1
2180.0,0.5,4734.87,-4724.87,-4625.87,1e-09,0.0,1
2190.0,0.5,4756.585,-4746.585,-4647.585,1e-09,0.0,1
2200.0,0.5,4778.3,-4768.3,-4669.3,1e-09,0.0,1
2210.0,0.5,4800.015,-4790.015,-4691.015,1e-09,0.0,1
2220.0,0.5,4821.73,-4811.73,-4712.73,1e-09,0.0,1
2230.0,0.5,4843.445,-4833.445,-4734.445,1e-09,0.0,1
2240.0,0.5,4865.16,-4855.16,-4756.16,1e-09,0.0,1
2250.0,0.5,4886.875,-4876.875,-4777.875,1e-09,0.0,1
2260.0,0.5,4908.59,-4898.59,-4799.59,1e-09,0.0,1
2270.0,0.5,4930.305,-4920.305,-4821.305,1e-09,0.0,1
2280.0,0.5,4952.0199999999995,-4942.0199999999995,-4843.0199999999995,1e-09,0.0,1
2290.0,0.5,4973.735,-4963.735,-4864.735,1e-09,0.0,1
2300.0,0.5,4995.45,-4985.45,-4886.45,1e-09,0.0,1
2310.0,0.5,5017.165,-5007.165,-4908.165,1e-09,0.0,1
2320.0,0.5,5038.88,-5028.88,-4929.88,1e-09,0.0,1
2330.0,0.5,5060.595,-5050.595,-4951.595,1e-09,0.0,1
2340.0,0.5,5082.31,-5072.31,-4973.31,1e-09,0.0,1
2350.0,0.5,5104.025,-5094.025,-4995.025,1e-09,0.0,1
2360.0,0.5,5125.74,-5115.74,-5016.74,1e-09,0.0,1
2370.0,0.5,5147.455,-5137.455,-5038.455,1e-09,0.0,1
2380.0,0.5,5169.17,-5159.17,-5060.17,1e-09,0.0,1
2390.0,0.5,5190.885,-5180.885,-5081.885,1e-09,0.0,1
2400.0,0.5,5212.6,-5202.6,-5103.6,1e-09,0.0,1
2410.0,0.5,5234.315,-5224.315,-5125.315,1e-09,0.0,1
2420.0,0.5,5256.03,-5246.03,-5147.03,1e-09,0.0,1
2430.0,0.5,5277.745,-5267.745,-5168.745,1e-09,0.0,1
2440.0,0.5,5299.46,-5289.46,-5190.46,1e-09,0.0,1
2450.0,0.5,5321.175,-5311.175,-5212.175,1e-09,0.0,1
2460.0,0.5,5342.89,-5332.89,-5233.89,1e-09,0.0,1
2470.0,0.5,5364.605,-5354.605,-5255.605,1e-09,0.0,1
2480.0,0.5,5386.32,-5376.32,-5277.32,1e-09,0.0,1
2490.0,0.5,5408.035,-5398.035,-5299.035,1e-09,0.0,1
2500.0,0.5,5429.75,-5419.75,-5320.75,1e-09,0.0,1
2510.0,0.5,5451.465,-5441.465,-5342.465,1e-09,0.0,1
2520.0,0.5,5473.18,-5463.18,-5364.18,1e-09,0.0,1
2530.0,0.5,5494.8949999999995,-5484.8949999999995,-5385.8949999999995,1e-09,0.0,1
2540.0,0.5,5516.61,-5506.61,-5407.61,1e-09,0.0,1
2550.0,0.5,5538.325,-5528.325,-5429.325,1e-09,0.0,1
2560.0,0.5,5560.04,-5550.04,-5451.04,1e-09,0.0,1
2570.0,0.5,5581.755,-5571.755,-5472.755,1e-09,0.0,1
2580.0,0.5,5603.47,-5593.47,-5494.47,1e-09,0.0,1
2590.0,0.5,5625.185,-5615.185,-5516.185,1e-09,0.0,1
2600.0,0.5,5646.9,-5636.9,-5537.9,1e-09,0.0,1
2610.0,0.5,5668.615,-5658.615,-5559.615,1e-09,0.0,1
2620.0,0.5,5690.33,-5680.33,-5581.33,1e-09,0.0,1
2630.0,0.5,5712.045,-5702.045,-5603.045,1e-09,0.0,1
2640.0,0.5,5733.76,-5723.76,-5624.76,1e-09,0.0,1
2650.0,0.5,5755.475,-5745.475,-5646.475,1e-09,0.0,1
2660.0,0.5,5777.19,-5767.19,-5668.19,1e-09,0.0,1
2670.0,0.5,5798.905,-5788.905,-5689.905,1e-09,0.0,1
2680.0,0.5,5820.62,-5810.62,-5711.62,1e-09,0.0,1
2690.0,0.5,5842.335,-5832.335,-5733.335,1e-09,0.0,1
2700.0,0.5,5864.05,-5854.05,-5755.05,1e-09,0.0,1
