distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
240.0,1.2566370614359172,2619.6358837517705,-2589.6358837517705,-2450.6358837517705,0.0
250.0,1.2566370614359172,2728.7873789080945,-2698.7873789080945,-2559.7873789080945,0.0
260.0,1.2566370614359172,2837.938874064418,-2807.938874064418,-2668.938874064418,0.0
270.0,1.2566370614359172,2947.0903692207416,-2917.0903692207416,-2778.0903692207416,0.0
280.0,1.2566370614359172,3056.2418643770657,-3026.2418643770657,-2887.2418643770657,0.0
290.0,1.2566370614359172,3165.3933595333892,-3135.3933595333892,-2996.3933595333892,0.0
300.0,1.2566370614359172,3274.5448546897132,-3244.5448546897132,-3105.5448546897132,0.0
310.0,1.2566370614359172,3383.696349846037,-3353.696349846037,-3214.696349846037,0.0
320.0,1.2566370614359172,3492.847845002361,-3462.847845002361,-3323.847845002361,0.0
330.0,1.2566370614359172,3601.9993401586844,-3571.9993401586844,-3432.9993401586844,0.0
340.0,1.2566370614359172,3711.1508353150084,-3681.1508353150084,-3542.1508353150084,0.0
350.0,1.2566370614359172,3820.302330471332,-3790.302330471332,-3651.302330471332,0.0
360.0,1.2566370614359172,3929.453825627656,-3899.453825627656,-3760.453825627656,0.0
370.0,1.2566370614359172,4038.6053207839796,-4008.6053207839796,-3869.6053207839796,0.0
380.0,1.2566370614359172,4147.756815940304,-4117.756815940304,-3978.7568159403036,0.0
390.0,1.2566370614359172,4256.908311096627,-4226.908311096627,-4087.9083110966267,0.0
400.0,1.2566370614359172,4366.059806252951,-4336.059806252951,-4197.059806252951,0.0
410.0,1.2566370614359172,4475.211301409275,-4445.211301409275,-4306.211301409275,0.0
420.0,1.2566370614359172,4584.362796565599,-4554.362796565599,-4415.362796565599,0.0
430.0,1.2566370614359172,4693.514291721922,-4663.514291721922,-4524.514291721922,0.0
440.0,1.2566370614359172,4802.665786878246,-4772.665786878246,-4633.665786878246,0.0
450.0,1.2566370614359172,4911.81728203457,-4881.81728203457,-4742.81728203457,0.0
460.0,1.2566370614359172,5020.968777190894,-4990.968777190894,-4851.968777190894,0.0
470.0,1.2566370614359172,5130.120272347217,-5100.120272347217,-4961.120272347217,0.0
480.0,1.2566370614359172,5239.271767503541,-5209.271767503541,-5070.271767503541,0.0
490.0,1.2566370614359172,5348.423262659865,-5318.423262659865,-5179.423262659865,0.0
500.0,1.2566370614359172,5457.574757816189,-5427.574757816189,-5288.574757816189,0.0
510.0,1.2566370614359172,5566.726252972512,-5536.726252972512,-5397.726252972512,0.0
520.0,1.2566370614359172,5675.877748128836,-5645.877748128836,-5506.877748128836,0.0
530.0,1.2566370614359172,5785.02924328516,-5755.02924328516,-5616.02924328516,0.0
540.0,1.2566370614359172,5894.180738441483,-5864.180738441483,-5725.180738441483,0.0
550.0,1.2566370614359172,6003.332233597807,-5973.332233597807,-5834.332233597807,0.0
560.0,1.2566370614359172,6112.483728754131,-6082.483728754131,-5943.483728754131,0.0
570.0,1.2566370614359172,6221.635223910455,-6191.635223910455,-6052.635223910455,0.0
580.0,1.2566370614359172,6330.7867190667785,-6300.7867190667785,-6161.7867190667785,0.0
590.0,1.2566370614359172,6439.9382142231025,-6409.9382142231025,-6270.9382142231025,0.0
600.0,1.2566370614359172,6549.0897093794265,-6519.0897093794265,-6380.0897093794265,0.0
610.0,1.2566370614359172,6658.2412045357505,-6628.2412045357505,-6489.2412045357505,0.0
620.0,1.2566370614359172,6767.392699692074,-6737.392699692074,-6598.392699692074,0.0
630.0,1.2566370614359172,6876.544194848398,-6846.544194848398,-6707.544194848398,0.0
640.0,1.2566370614359172,6985.695690004722,-6955.695690004722,-6816.695690004722,0.0
650.0,1.2566370614359172,7094.847185161045,-7064.847185161045,-6925.847185161045,0.0
660.0,1.2566370614359172,7203.998680317369,-7173.998680317369,-7034.998680317369,0.0
670.0,1.2566370614359172,7313.150175473693,-7283.150175473693,-7144.150175473693,0.0
680.0,1.2566370614359172,7422.301670630017,-7392.301670630017,-7253.301670630017,0.0
690.0,1.2566370614359172,7531.45316578634,-7501.45316578634,-7362.45316578634,0.0
700.0,1.2566370614359172,7640.604660942664,-7610.604660942664,-7471.604660942664,0.0
710.0,1.2566370614359172,7749.756156098988,-7719.756156098988,-7580.756156098988,0.0
720.0,1.2566370614359172,7858.907651255312,-7828.907651255312,-7689.907651255312,0.0
730.0,1.2566370614359172,7968.059146411635,-7938.059146411635,-7799.059146411635,0.0
740.0,1.2566370614359172,8077.210641567959,-8047.210641567959,-7908.210641567959,0.0
750.0,1.2566370614359172,8186.362136724283,-8156.362136724283,-8017.362136724283,0.0
760.0,1.2566370614359172,8295.513631880607,-8265.513631880607,-8126.513631880607,0.0
770.0,1.2566370614359172,8404.665127036931,-8374.665127036931,-8235.665127036931,0.0
780.0,1.2566370614359172,8513.816622193253,-8483.816622193253,-8344.816622193253,0.0
790.0,1.2566370614359172,8622.968117349577,-8592.968117349577,-8453.968117349577,0.0
800.0,1.2566370614359172,8732.119612505901,-8702.119612505901,-8563.119612505901,0.0
810.0,1.2566370614359172,8841.271107662225,-8811.271107662225,-8672.271107662225,0.0
820.0,1.2566370614359172,8950.42260281855,-8920.42260281855,-8781.42260281855,0.0
830.0,1.2566370614359172,9059.574097974873,-9029.574097974873,-8890.574097974873,0.0
840.0,1.2566370614359172,9168.725593131197,-9138.725593131197,-8999.725593131197,0.0
850.0,1.2566370614359172,9277.877088287521,-9247.877088287521,-9108.877088287521,0.0
860.0,1.2566370614359172,9387.028583443844,-9357.028583443844,-9218.028583443844,0.0
870.0,1.2566370614359172,9496.180078600168,-9466.180078600168,-9327.180078600168,0.0
880.0,1.2566370614359172,9605.331573756492,-9575.331573756492,-9436.331573756492,0.0
890.0,1.2566370614359172,9714.483068912816,-9684.483068912816,-9545.483068912816,0.0
900.0,1.2566370614359172,9823.63456406914,-9793.63456406914,-9654.63456406914,0.0
910.0,1.2566370614359172,9932.786059225464,-9902.786059225464,-9763.786059225464,0.0
920.0,1.2566370614359172,10041.937554381788,-10011.937554381788,-9872.937554381788,0.0
930.0,1.2566370614359172,10151.08904953811,-10121.08904953811,-9982.08904953811,0.0
940.0,1.2566370614359172,10260.240544694434,-10230.240544694434,-10091.240544694434,0.0
950.0,1.2566370614359172,10369.392039850758,-10339.392039850758,-10200.392039850758,0.0
960.0,1.2566370614359172,10478.543535007082,-10448.543535007082,-10309.543535007082,0.0
970.0,1.2566370614359172,10587.695030163406,-10557.695030163406,-10418.695030163406,0.0
980.0,1.2566370614359172,10696.84652531973,-10666.84652531973,-10527.84652531973,0.0
990.0,1.2566370614359172,10805.998020476054,-10775.998020476054,-10636.998020476054,0.0
1000.0,1.2566370614359172,10915.149515632378,-10885.149515632378,-10746.149515632378,0.0
1010.0,1.2566370614359172,11024.3010107887,-10994.3010107887,-10855.3010107887,0.0
1020.0,1.2566370614359172,11133.452505945024,-11103.452505945024,-10964.452505945024,0.0
1030.0,1.2566370614359172,11242.604001101348,-11212.604001101348,-11073.604001101348,0.0
1040.0,1.2566370614359172,11351.755496257672,-11321.755496257672,-11182.755496257672,0.0
1050.0,1.2566370614359172,11460.906991413996,-11430.906991413996,-11291.906991413996,0.0
1060.0,1.2566370614359172,11570.05848657032,-11540.05848657032,-11401.05848657032,0.0
1070.0,1.2566370614359172,11679.209981726644,-11649.209981726644,-11510.209981726644,0.0
1080.0,1.2566370614359172,11788.361476882967,-11758.361476882967,-11619.361476882967,0.0
1090.0,1.2566370614359172,11897.51297203929,-11867.51297203929,-11728.51297203929,0.0
1100.0,1.2566370614359172,12006.664467195615,-11976.664467195615,-11837.664467195615,0.0
1110.0,1.2566370614359172,12115.815962351939,-12085.815962351939,-11946.815962351939,0.0
1120.0,1.2566370614359172,12224.967457508263,-12194.967457508263,-12055.967457508263,0.0
1130.0,1.2566370614359172,12334.118952664587,-12304.118952664587,-12165.118952664587,0.0
1140.0,1.2566370614359172,12443.27044782091,-12413.27044782091,-12274.27044782091,0.0
1150.0,1.2566370614359172,12552.421942977235,-12522.421942977235,-12383.421942977235,0.0
1160.0,1.2566370614359172,12661.573438133557,-12631.573438133557,-12492.573438133557,0.0
1170.0,1.2566370614359172,12770.724933289881,-12740.724933289881,-12601.724933289881,0.0
1180.0,1.2566370614359172,12879.876428446205,-12849.876428446205,-12710.876428446205,0.0
1190.0,1.2566370614359172,12989.027923602529,-12959.027923602529,-12820.027923602529,0.0
1200.0,1.2566370614359172,13098.179418758853,-13068.179418758853,-12929.179418758853,0.0
1210.0,1.2566370614359172,13207.330913915177,-13177.330913915177,-13038.330913915177,0.0
1220.0,1.2566370614359172,13316.482409071501,-13286.482409071501,-13147.482409071501,0.0
1230.0,1.2566370614359172,13425.633904227823,-13395.633904227823,-13256.633904227823,0.0
1240.0,1.2566370614359172,13534.785399384147,-13504.785399384147,-13365.785399384147,0.0
1250.0,1.2566370614359172,13643.936894540471,-13613.936894540471,-13474.936894540471,0.0
1260.0,1.2566370614359172,13753.088389696795,-13723.088389696795,-13584.088389696795,0.0
1270.0,1.2566370614359172,13862.23988485312,-13832.23988485312,-13693.23988485312,0.0
1280.0,1.2566370614359172,13971.391380009443,-13941.391380009443,-13802.391380009443,0.0
1290.0,1.2566370614359172,14080.542875165767,-14050.542875165767,-13911.542875165767,0.0
1300.0,1.2566370614359172,14189.69437032209,-14159.69437032209,-14020.69437032209,0.0
1310.0,1.2566370614359172,14298.845865478414,-14268.845865478414,-14129.845865478414,0.0
1320.0,1.2566370614359172,14407.997360634738,-14377.997360634738,-14238.997360634738,0.0
1330.0,1.2566370614359172,14517.148855791062,-14487.148855791062,-14348.148855791062,0.0
1340.0,1.2566370614359172,14626.300350947386,-14596.300350947386,-14457.300350947386,0.0
1350.0,1.2566370614359172,14735.45184610371,-14705.45184610371,-14566.45184610371,0.0
1360.0,1.2566370614359172,14844.603341260034,-14814.603341260034,-14675.603341260034,0.0
1370.0,1.2566370614359172,14953.754836416358,-14923.754836416358,-14784.754836416358,0.0
1380.0,1.2566370614359172,15062.90633157268,-15032.90633157268,-14893.90633157268,0.0
1390.0,1.2566370614359172,15172.057826729004,-15142.057826729004,-15003.057826729004,0.0
1400.0,1.2566370614359172,15281.209321885328,-15251.209321885328,-15112.209321885328,0.0
1410.0,1.2566370614359172,15390.360817041652,-15360.360817041652,-15221.360817041652,0.0
1420.0,1.2566370614359172,15499.512312197976,-15469.512312197976,-15330.512312197976,0.0
1430.0,1.2566370614359172,15608.6638073543,-15578.6638073543,-15439.6638073543,0.0
1440.0,1.2566370614359172,15717.815302510624,-15687.815302510624,-15548.815302510624,0.0
1450.0,1.2566370614359172,15826.966797666946,-15796.966797666946,-15657.966797666946,0.0
1460.0,1.2566370614359172,15936.11829282327,-15906.11829282327,-15767.11829282327,0.0
1470.0,1.2566370614359172,16045.269787979594,-16015.269787979594,-15876.269787979594,0.0
1480.0,1.2566370614359172,16154.421283135918,-16124.421283135918,-15985.421283135918,0.0
1490.0,1.2566370614359172,16263.572778292242,-16233.572778292242,-16094.572778292242,0.0
1500.0,1.2566370614359172,16372.724273448566,-16342.724273448566,-16203.724273448566,0.0
1510.0,1.2566370614359172,16481.87576860489,-16451.87576860489,-16312.875768604888,0.0
1520.0,1.2566370614359172,16591.027263761214,-16561.027263761214,-16422.027263761214,0.0
1530.0,1.2566370614359172,16700.178758917536,-16670.178758917536,-16531.178758917536,0.0
1540.0,1.2566370614359172,16809.330254073862,-16779.330254073862,-16640.330254073862,0.0
1550.0,1.2566370614359172,16918.481749230185,-16888.481749230185,-16749.481749230185,0.0
1560.0,1.2566370614359172,17027.633244386507,-16997.633244386507,-16858.633244386507,0.0
1570.0,1.2566370614359172,17136.784739542833,-17106.784739542833,-16967.784739542833,0.0
1580.0,1.2566370614359172,17245.936234699155,-17215.936234699155,-17076.936234699155,0.0
1590.0,1.2566370614359172,17355.08772985548,-17325.08772985548,-17186.08772985548,0.0
1600.0,1.2566370614359172,17464.239225011803,-17434.239225011803,-17295.239225011803,0.0
1610.0,1.2566370614359172,17573.39072016813,-17543.39072016813,-17404.39072016813,0.0
1620.0,1.2566370614359172,17682.54221532445,-17652.54221532445,-17513.54221532445,0.0
1630.0,1.2566370614359172,17791.693710480777,-17761.693710480777,-17622.693710480777,0.0
1640.0,1.2566370614359172,17900.8452056371,-17870.8452056371,-17731.8452056371,0.0
1650.0,1.2566370614359172,18009.99670079342,-17979.99670079342,-17840.99670079342,0.0
1660.0,1.2566370614359172,18119.148195949747,-18089.148195949747,-17950.148195949747,0.0
1670.0,1.2566370614359172,18228.29969110607,-18198.29969110607,-18059.29969110607,0.0
1680.0,1.2566370614359172,18337.451186262395,-18307.451186262395,-18168.451186262395,0.0
1690.0,1.2566370614359172,18446.602681418717,-18416.602681418717,-18277.602681418717,0.0
1700.0,1.2566370614359172,18555.754176575043,-18525.754176575043,-18386.754176575043,0.0
1710.0,1.2566370614359172,18664.905671731365,-18634.905671731365,-18495.905671731365,0.0
1720.0,1.2566370614359172,18774.057166887687,-18744.057166887687,-18605.057166887687,0.0
1730.0,1.2566370614359172,18883.208662044013,-18853.208662044013,-18714.208662044013,0.0
1740.0,1.2566370614359172,18992.360157200335,-18962.360157200335,-18823.360157200335,0.0
1750.0,1.2566370614359172,19101.51165235666,-19071.51165235666,-18932.51165235666,0.0
1760.0,1.2566370614359172,19210.663147512983,-19180.663147512983,-19041.663147512983,0.0
1770.0,1.2566370614359172,19319.81464266931,-19289.81464266931,-19150.81464266931,0.0
1780.0,1.2566370614359172,19428.96613782563,-19398.96613782563,-19259.96613782563,0.0
1790.0,1.2566370614359172,19538.117632981954,-19508.117632981954,-19369.117632981954,0.0
1800.0,1.2566370614359172,19647.26912813828,-19617.26912813828,-19478.26912813828,0.0
1810.0,1.2566370614359172,19756.4206232946,-19726.4206232946,-19587.4206232946,0.0
1820.0,1.2566370614359172,19865.572118450928,-19835.572118450928,-19696.572118450928,0.0
1830.0,1.2566370614359172,19974.72361360725,-19944.72361360725,-19805.72361360725,0.0
1840.0,1.2566370614359172,20083.875108763576,-20053.875108763576,-19914.875108763576,0.0
1850.0,1.2566370614359172,20193.026603919898,-20163.026603919898,-20024.026603919898,0.0
1860.0,1.2566370614359172,20302.17809907622,-20272.17809907622,-20133.17809907622,0.0
1870.0,1.2566370614359172,20411.329594232546,-20381.329594232546,-20242.329594232546,0.0
1880.0,1.2566370614359172,20520.481089388868,-20490.481089388868,-20351.481089388868,0.0
1890.0,1.2566370614359172,20629.632584545194,-20599.632584545194,-20460.632584545194,0.0
1900.0,1.2566370614359172,20738.784079701516,-20708.784079701516,-20569.784079701516,0.0
1910.0,1.2566370614359172,20847.935574857842,-20817.935574857842,-20678.935574857842,0.0
1920.0,1.2566370614359172,20957.087070014164,-20927.087070014164,-20788.087070014164,0.0
1930.0,1.2566370614359172,21066.238565170486,-21036.238565170486,-20897.238565170486,0.0
1940.0,1.2566370614359172,21175.390060326812,-21145.390060326812,-21006.390060326812,0.0
1950.0,1.2566370614359172,21284.541555483134,-21254.541555483134,-21115.541555483134,0.0
1960.0,1.2566370614359172,21393.69305063946,-21363.69305063946,-21224.69305063946,0.0
1970.0,1.2566370614359172,21502.844545795782,-21472.844545795782,-21333.844545795782,0.0
1980.0,1.2566370614359172,21611.996040952108,-21581.996040952108,-21442.996040952108,0.0
1990.0,1.2566370614359172,21721.14753610843,-21691.14753610843,-21552.14753610843,0.0
2000.0,1.2566370614359172,21830.299031264756,-21800.299031264756,-21661.299031264756,0.0
2010.0,1.2566370614359172,21939.45052642108,-21909.45052642108,-21770.45052642108,0.0
2020.0,1.2566370614359172,22048.6020215774,-22018.6020215774,-21879.6020215774,0.0
2030.0,1.2566370614359172,22157.753516733726,-22127.753516733726,-21988.753516733726,0.0
2040.0,1.2566370614359172,22266.90501189005,-22236.90501189005,-22097.90501189005,0.0
2050.0,1.2566370614359172,22376.056507046374,-22346.056507046374,-22207.056507046374,0.0
2060.0,1.2566370614359172,22485.208002202697,-22455.208002202697,-22316.208002202697,0.0
2070.0,1.2566370614359172,22594.359497359022,-22564.359497359022,-22425.359497359022,0.0
2080.0,1.2566370614359172,22703.510992515345,-22673.510992515345,-22534.510992515345,0.0
2090.0,1.2566370614359172,22812.662487671667,-22782.662487671667,-22643.662487671667,0.0
2100.0,1.2566370614359172,22921.813982827993,-22891.813982827993,-22752.813982827993,0.0
2110.0,1.2566370614359172,23030.965477984315,-23000.965477984315,-22861.965477984315,0.0
2120.0,1.2566370614359172,23140.11697314064,-23110.11697314064,-22971.11697314064,0.0
2130.0,1.2566370614359172,23249.268468296963,-23219.268468296963,-23080.268468296963,0.0
2140.0,1.2566370614359172,23358.41996345329,-23328.41996345329,-23189.41996345329,0.0
2150.0,1.2566370614359172,23467.57145860961,-23437.57145860961,-23298.57145860961,0.0
2160.0,1.2566370614359172,23576.722953765933,-23546.722953765933,-23407.722953765933,0.0
2170.0,1.2566370614359172,23685.87444892226,-23655.87444892226,-23516.87444892226,0.0
2180.0,1.2566370614359172,23795.02594407858,-23765.02594407858,-23626.02594407858,0.0
2190.0,1.2566370614359172,23904.177439234907,-23874.177439234907,-23735.177439234907,0.0
2200.0,1.2566370614359172,24013.32893439123,-23983.32893439123,-23844.32893439123,0.0
2210.0,1.2566370614359172,24122.480429547555,-24092.480429547555,-23953.480429547555,0.0
2220.0,1.2566370614359172,24231.631924703877,-24201.631924703877,-24062.631924703877,0.0
2230.0,1.2566370614359172,24340.7834198602,-24310.7834198602,-24171.7834198602,0.0
2240.0,1.2566370614359172,24449.934915016525,-24419.934915016525,-24280.934915016525,0.0
2250.0,1.2566370614359172,24559.086410172848,-24529.086410172848,-24390.086410172848,0.0
2260.0,1.2566370614359172,24668.237905329173,-24638.237905329173,-24499.237905329173,0.0
2270.0,1.2566370614359172,24777.389400485496,-24747.389400485496,-24608.389400485496,0.0
2280.0,1.2566370614359172,24886.54089564182,-24856.54089564182,-24717.54089564182,0.0
2290.0,1.2566370614359172,24995.692390798144,-24965.692390798144,-24826.692390798144,0.0
2300.0,1.2566370614359172,25104.84388595447,-25074.84388595447,-24935.84388595447,0.0
2310.0,1.2566370614359172,25213.99538111079,-25183.99538111079,-25044.99538111079,0.0
2320.0,1.2566370614359172,25323.146876267114,-25293.146876267114,-25154.146876267114,0.0
2330.0,1.2566370614359172,25432.29837142344,-25402.29837142344,-25263.29837142344,0.0
2340.0,1.2566370614359172,25541.449866579762,-25511.449866579762,-25372.449866579762,0.0
2350.0,1.2566370614359172,25650.601361736088,-25620.601361736088,-25481.601361736088,0.0
2360.0,1.2566370614359172,25759.75285689241,-25729.75285689241,-25590.75285689241,0.0
2370.0,1.2566370614359172,25868.904352048736,-25838.904352048736,-25699.904352048736,0.0
2380.0,1.2566370614359172,25978.055847205058,-25948.055847205058,-25809.055847205058,0.0
2390.0,1.2566370614359172,26087.20734236138,-26057.20734236138,-25918.20734236138,0.0
2400.0,1.2566370614359172,26196.358837517706,-26166.358837517706,-26027.358837517706,0.0
2410.0,1.2566370614359172,26305.510332674028,-26275.510332674028,-26136.510332674028,0.0
2420.0,1.2566370614359172,26414.661827830354,-26384.661827830354,-26245.661827830354,0.0
2430.0,1.2566370614359172,26523.813322986676,-26493.813322986676,-26354.813322986676,0.0
2440.0,1.2566370614359172,26632.964818143002,-26602.964818143002,-26463.964818143002,0.0
2450.0,1.2566370614359172,26742.116313299324,-26712.116313299324,-26573.116313299324,0.0
2460.0,1.2566370614359172,26851.267808455646,-26821.267808455646,-26682.267808455646,0.0
2470.0,1.2566370614359172,26960.419303611972,-26930.419303611972,-26791.419303611972,0.0
2480.0,1.2566370614359172,27069.570798768294,-27039.570798768294,-26900.570798768294,0.0
2490.0,1.2566370614359172,27178.72229392462,-27148.72229392462,-27009.72229392462,0.0
2500.0,1.2566370614359172,27287.873789080943,-27257.873789080943,-27118.873789080943,0.0
2510.0,1.2566370614359172,27397.02528423727,-27367.02528423727,-27228.02528423727,0.0
2520.0,1.2566370614359172,27506.17677939359,-27476.17677939359,-27337.17677939359,0.0
2530.0,1.2566370614359172,27615.328274549913,-27585.328274549913,-27446.328274549913,0.0
2540.0,1.2566370614359172,27724.47976970624,-27694.47976970624,-27555.47976970624,0.0
2550.0,1.2566370614359172,27833.63126486256,-27803.63126486256,-27664.63126486256,0.0
2560.0,1.2566370614359172,27942.782760018887,-27912.782760018887,-27773.782760018887,0.0
2570.0,1.2566370614359172,28051.93425517521,-28021.93425517521,-27882.93425517521,0.0
2580.0,1.2566370614359172,28161.085750331535,-28131.085750331535,-27992.085750331535,0.0
2590.0,1.2566370614359172,28270.237245487857,-28240.237245487857,-28101.237245487857,0.0
2600.0,1.2566370614359172,28379.38874064418,-28349.38874064418,-28210.38874064418,0.0
2610.0,1.2566370614359172,28488.540235800505,-28458.540235800505,-28319.540235800505,0.0
2620.0,1.2566370614359172,28597.691730956827,-28567.691730956827,-28428.691730956827,0.0
2630.0,1.2566370614359172,28706.843226113153,-28676.843226113153,-28537.843226113153,0.0
2640.0,1.2566370614359172,28815.994721269475,-28785.994721269475,-28646.994721269475,0.0
2650.0,1.2566370614359172,28925.1462164258,-28895.1462164258,-28756.1462164258,0.0
2660.0,1.2566370614359172,29034.297711582123,-29004.297711582123,-28865.297711582123,0.0
2670.0,1.2566370614359172,29143.44920673845,-29113.44920673845,-28974.44920673845,0.0
2680.0,1.2566370614359172,29252.60070189477,-29222.60070189477,-29083.60070189477,0.0
2690.0,1.2566370614359172,29361.752197051093,-29331.752197051093,-29192.752197051093,0.0
2700.0,1.2566370614359172,29470.90369220742,-29440.90369220742,-29301.90369220742,0.0
2710.0,1.2566370614359172,29580.05518736374,-29550.05518736374,-29411.05518736374,0.0
2720.0,1.2566370614359172,29689.206682520067,-29659.206682520067,-29520.206682520067,0.0
2730.0,1.2566370614359172,29798.35817767639,-29768.35817767639,-29629.35817767639,0.0
2740.0,1.2566370614359172,29907.509672832715,-29877.509672832715,-29738.509672832715,0.0
2750.0,1.2566370614359172,30016.661167989037,-29986.661167989037,-29847.661167989037,0.0
2760.0,1.2566370614359172,30125.81266314536,-30095.81266314536,-29956.81266314536,0.0
2770.0,1.2566370614359172,30234.964158301686,-30204.964158301686,-30065.964158301686,0.0
2780.0,1.2566370614359172,30344.115653458008,-30314.115653458008,-30175.115653458008,0.0
2790.0,1.2566370614359172,30453.267148614334,-30423.267148614334,-30284.267148614334,0.0
2800.0,1.2566370614359172,30562.418643770656,-30532.418643770656,-30393.418643770656,0.0
2810.0,1.2566370614359172,30671.57013892698,-30641.57013892698,-30502.57013892698,0.0
2820.0,1.2566370614359172,30780.721634083304,-30750.721634083304,-30611.721634083304,0.0
2830.0,1.2566370614359172,30889.873129239626,-30859.873129239626,-30720.873129239626,0.0
2840.0,1.2566370614359172,30999.024624395952,-30969.024624395952,-30830.024624395952,0.0
2850.0,1.2566370614359172,31108.176119552274,-31078.176119552274,-30939.176119552274,0.0
2860.0,1.2566370614359172,31217.3276147086,-31187.3276147086,-31048.3276147086,0.0
2870.0,1.2566370614359172,31326.479109864922,-31296.479109864922,-31157.479109864922,0.0
2880.0,1.2566370614359172,31435.630605021248,-31405.630605021248,-31266.630605021248,0.0
2890.0,1.2566370614359172,31544.78210017757,-31514.78210017757,-31375.78210017757,0.0
2900.0,1.2566370614359172,31653.933595333892,-31623.933595333892,-31484.933595333892,0.0
2910.0,1.2566370614359172,31763.085090490218,-31733.085090490218,-31594.085090490218,0.0
2920.0,1.2566370614359172,31872.23658564654,-31842.23658564654,-31703.23658564654,0.0
2930.0,1.2566370614359172,31981.388080802866,-31951.388080802866,-31812.388080802866,0.0
2940.0,1.2566370614359172,32090.53957595919,-32060.53957595919,-31921.53957595919,0.0
2950.0,1.2566370614359172,32199.691071115514,-32169.691071115514,-32030.691071115514,0.0
2960.0,1.2566370614359172,32308.842566271836,-32278.842566271836,-32139.842566271836,0.0
2970.0,1.2566370614359172,32417.99406142816,-32387.99406142816,-32248.99406142816,0.0
2980.0,1.2566370614359172,32527.145556584484,-32497.145556584484,-32358.145556584484,0.0
2990.0,1.2566370614359172,32636.297051740807,-32606.297051740807,-32467.297051740807,0.0
3000.0,1.2566370614359172,32745.448546897132,-32715.448546897132,-32576.448546897132,0.0
3010.0,1.2566370614359172,32854.600042053455,-32824.600042053455,-32685.600042053455,0.0
3020.0,1.2566370614359172,32963.75153720978,-32933.75153720978,-32794.75153720978,0.0
3030.0,1.2566370614359172,33072.903032366106,-33042.903032366106,-32903.903032366106,0.0
3040.0,1.2566370614359172,33182.05452752243,-33152.05452752243,-33013.05452752243,0.0
3050.0,1.2566370614359172,33291.20602267875,-33261.20602267875,-33122.20602267875,0.0
3060.0,1.2566370614359172,33400.35751783507,-33370.35751783507,-33231.35751783507,0.0
3070.0,1.2566370614359172,33509.509012991395,-33479.509012991395,-33340.509012991395,0.0
3080.0,1.2566370614359172,33618.660508147725,-33588.660508147725,-33449.660508147725,0.0
3090.0,1.2566370614359172,33727.81200330405,-33697.81200330405,-33558.81200330405,0.0
3100.0,1.2566370614359172,33836.96349846037,-33806.96349846037,-33667.96349846037,0.0
3110.0,1.2566370614359172,33946.11499361669,-33916.11499361669,-33777.11499361669,0.0
3120.0,1.2566370614359172,34055.26648877301,-34025.26648877301,-33886.26648877301,0.0
3130.0,1.2566370614359172,34164.41798392934,-34134.41798392934,-33995.41798392934,0.0
3140.0,1.2566370614359172,34273.569479085665,-34243.569479085665,-34104.569479085665,0.0
3150.0,1.2566370614359172,34382.72097424199,-34352.72097424199,-34213.72097424199,0.0
3160.0,1.2566370614359172,34491.87246939831,-34461.87246939831,-34322.87246939831,0.0
