distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
1480.0,0.0,36.45058616983593,24.13695735821147,1e-15,6.107649337837515,28.93169755591348,2.8544623423580333,46902160.64789562,1000000000.0,1000000000.0,2.132097937890773e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1490.0,0.0,36.45058616983593,24.13695735821147,1e-15,8.68611026870245,28.870154370543638,2.784036106160727,61371460.98712599,1000000000.0,1000000000.0,1.6294218581659184e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1500.0,0.0,36.45058616983593,24.13695735821147,1e-15,7.128531096602771,28.80900383216214,2.7140011174416543,52469927.732471205,1000000000.0,1000000000.0,1.905853587408596e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1510.0,0.0,36.45058616983593,24.13695735821147,1e-15,5.303232699731296,28.748240731304314,2.6443521768409255,42690758.78768355,1000000000.0,1000000000.0,2.3424273271256636e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1520.0,0.0,36.45058616983593,24.13695735821147,1e-15,5.3942155316994445,28.687859961603912,2.575084187957941,43158681.20804801,1000000000.0,1000000000.0,2.317030947214219e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1530.0,0.0,36.45058616983593,24.13695735821147,1e-15,6.33045748699287,28.627856517089832,2.506192154650421,48097064.12384802,1000000000.0,1000000000.0,2.079128982644429e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1540.0,0.0,36.45058616983593,24.13695735821147,1e-15,5.396680916397912,28.56822548957055,2.437671178422221,43171391.37367333,1000000000.0,1000000000.0,2.3163487860384728e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1550.0,0.0,36.45058616983593,24.13695735821147,1e-15,4.154628565808181,28.50896206610352,2.369516455894683,36983430.09777955,1000000000.0,1000000000.0,2.70391361038207e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1560.0,0.0,36.45058616983593,24.13695735821147,1e-15,7.211815890687376,28.45006152654566,2.301723276360349,52934186.652359016,1000000000.0,1000000000.0,1.889138311631043e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1570.0,0.0,36.45058616983593,24.13695735821147,1e-15,4.556832644820815,28.391519241182216,2.2342870194139266,38938413.48586477,1000000000.0,1000000000.0,2.5681580487685123e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1580.0,0.0,36.45058616983593,24.13695735821147,1e-15,4.230181757994075,28.333330668430776,2.1672031526592264,37346946.77217063,1000000000.0,1000000000.0,2.6775950550933866e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1590.0,0.0,36.45058616983593,24.13695735821147,1e-15,9.296529198679679,28.275491352618012,2.1004672294876627,64972460.452528454,1000000000.0,1000000000.0,1.5391136383555016e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
1600.0,0.0,36.45058616983593,24.13695735821147,1e-15,4.389436092145473,28.217996921825524,2.0340748869272716,38118857.34723877,1000000000.0,1000000000.0,2.6233734943590522e-09,1.0000000000000001e-11,3.1622776601683794e-11,1,clear
