distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1940.0,147.74845969299776,13.386000000000001,161.13445969299775,-82.12415973635794,1.0000000000000001e-11,44.231184780470414,1
1950.0,147.7931173216436,13.455,161.2481173216436,-82.23781736500379,1.0000000000000001e-11,43.088641080255584,1
1960.0,147.83754652152277,13.524000000000001,161.36154652152277,-82.35124656488296,1.0000000000000001e-11,41.97782091234251,1
1970.0,147.88174961762508,13.593,161.47474961762506,-82.46444966098525,1.0000000000000001e-11,40.89776485051342,1
1980.0,147.92572889962383,13.662,161.58772889962384,-82.57742894298403,1.0000000000000001e-11,39.84755190966735,1
1990.0,147.9694866225874,13.731,161.7004866225874,-82.69018666594758,1.0000000000000001e-11,38.82628833382761,1
2000.0,148.01302500767287,13.8,161.81302500767288,-82.80272505103306,1.0000000000000001e-11,37.833109197854974,1
2010.0,148.05634624280304,13.869,161.92534624280304,-82.91504628616323,1.0000000000000001e-11,36.86718000916108,1
2020.0,148.0994524833257,13.938,162.0374524833257,-83.02715252668588,1.0000000000000001e-11,35.92769030085544,1
2030.0,148.1423458526575,14.007,162.14934585265752,-83.1390458960177,1.0000000000000001e-11,35.01385683517201,1
2040.0,148.18502844291123,14.076,162.26102844291123,-83.25072848627141,1.0000000000000001e-11,34.1249236034692,1
2050.0,148.22750231550833,14.145,162.37250231550834,-83.36220235886853,1.0000000000000001e-11,33.26015862280349,1
2060.0,148.2697695017763,14.214,162.4837695017763,-83.47346954513648,1.0000000000000001e-11,32.41884913078967,1
2070.0,148.3118320035316,14.283,162.5948320035316,-83.58453204689178,1.0000000000000001e-11,31.600309594167125,1
2080.0,148.35369179364847,14.352000000000002,162.70569179364847,-83.69539183700866,1.0000000000000001e-11,30.80387530194691,1
2090.0,148.39535081661433,14.421,162.81635081661432,-83.8060508599745,1.0000000000000001e-11,30.02890236541176,1
2100.0,148.4368109890716,14.490000000000002,162.9268109890716,-83.9165110324318,1.0000000000000001e-11,29.274766116402887,1
2110.0,148.47807420034707,14.559,163.03707420034706,-84.02677424370725,1.0000000000000001e-11,28.540864310746485,1
2120.0,148.51914231296826,14.628000000000002,163.14714231296827,-84.13684235632846,1.0000000000000001e-11,27.826610721400797,1
2130.0,148.56001716316797,14.697,163.25701716316797,-84.24671720652816,1.0000000000000001e-11,27.131438341882614,1
2140.0,148.6007005613771,14.766000000000002,163.3667005613771,-84.35640060473727,1.0000000000000001e-11,26.454799386267318,1
2150.0,148.64119429270534,14.835,163.47619429270534,-84.46589433606553,1.0000000000000001e-11,25.796162085762383,1
2160.0,148.68150011741187,14.904000000000002,163.58550011741187,-84.57520016077206,1.0000000000000001e-11,25.15501229042067,1
2170.0,148.7216197713638,14.973,163.69461977136382,-84.684319814724,1.0000000000000001e-11,24.530848664000708,1
2180.0,148.76155496648533,15.042000000000002,163.80355496648534,-84.79325500984552,1.0000000000000001e-11,23.923187489106432,1
2190.0,148.80130739119562,15.111,163.9123073911956,-84.9020074345558,1.0000000000000001e-11,23.331561065473963,1
2200.0,148.84087871083733,15.180000000000001,164.02087871083734,-85.01057875419752,1.0000000000000001e-11,22.755514506545147,1
2210.0,148.88027056809545,15.249,164.12927056809545,-85.11897061145564,1.0000000000000001e-11,22.194607341180788,1
2220.0,148.91948458340602,15.318000000000001,164.23748458340603,-85.22718462676622,1.0000000000000001e-11,21.6484135136607,1
2230.0,148.95852235535648,15.387,164.34552235535648,-85.33522239871667,1.0000000000000001e-11,21.116518180257184,1
2240.0,148.99738546107648,15.456000000000003,164.4533854610765,-85.44308550443668,1.0000000000000001e-11,20.598519310948337,1
2250.0,149.0360754566205,15.525,164.5610754566205,-85.55077549998069,1.0000000000000001e-11,20.09402768941801,1
2260.0,149.07459387734127,15.594,164.66859387734127,-85.65829392070145,1.0000000000000001e-11,19.602666913055867,1
2270.0,149.1129422382557,15.663,164.7759422382557,-85.7656422816159,1.0000000000000001e-11,19.124070189530872,1
2280.0,149.1511220344023,15.732,164.8831220344023,-85.87282207776249,1.0000000000000001e-11,18.65788193850457,1
2290.0,149.18913474119103,15.801000000000002,164.990134741191,-85.9798347845512,1.0000000000000001e-11,18.203757791631073,1
2300.0,149.2269818147451,15.87,165.0969818147451,-86.0866818581053,1.0000000000000001e-11,17.761366194270327,1
2310.0,149.26466469223612,15.939000000000002,165.20366469223612,-86.1933647355963,1.0000000000000001e-11,17.33037879520864,1
2320.0,149.30218479221122,16.008,165.31018479221123,-86.29988483557142,1.0000000000000001e-11,16.910484862077922,1
2330.0,149.3395435149136,16.077,165.4165435149136,-86.40624355827379,1.0000000000000001e-11,16.501376865936436,1
2340.0,149.3767422425961,16.146,165.5227422425961,-86.5124422859563,1.0000000000000001e-11,16.10276009154833,1
2350.0,149.41378233982795,16.215,165.62878233982795,-86.61848238318814,1.0000000000000001e-11,15.714346230530632,1
2360.0,149.45066515379534,16.284,165.73466515379533,-86.72436519715552,1.0000000000000001e-11,15.335856584779743,1
2370.0,149.4873920145953,16.353,165.8403920145953,-86.83009205795548,1.0000000000000001e-11,14.967020464758216,1
2380.0,149.52396423552347,16.422,165.94596423552346,-86.93566427888365,1.0000000000000001e-11,14.607575189494755,1
2390.0,149.560383113356,16.491000000000003,166.05138311335602,-87.04108315671621,1.0000000000000001e-11,14.25726448487096,1
2400.0,149.59664992862537,16.56,166.15664992862537,-87.14634997198556,1.0000000000000001e-11,13.915843288761097,1
2410.0,149.63276594589064,16.629,166.26176594589063,-87.25146598925082,1.0000000000000001e-11,13.583069742465845,1
2420.0,149.66873241400185,16.698,166.36673241400186,-87.35643245736205,1.0000000000000001e-11,13.258709995852051,1
