distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
1630.0,0.2,1416.818,-1406.818,-1307.818,0.0
1640.0,0.2,1425.5040000000001,-1415.5040000000001,-1316.5040000000001,0.0
1650.0,0.2,1434.19,-1424.19,-1325.19,0.0
1660.0,0.2,1442.876,-1432.876,-1333.876,0.0
1670.0,0.2,1451.5620000000001,-1441.5620000000001,-1342.5620000000001,0.0
1680.0,0.2,1460.248,-1450.248,-1351.248,0.0
1690.0,0.2,1468.934,-1458.934,-1359.934,0.0
1700.0,0.2,1477.6200000000001,-1467.6200000000001,-1368.6200000000001,0.0
1710.0,0.2,1486.306,-1476.306,-1377.306,0.0
1720.0,0.2,1494.992,-1484.992,-1385.992,0.0
1730.0,0.2,1503.678,-1493.678,-1394.678,0.0
1740.0,0.2,1512.364,-1502.364,-1403.364,0.0
1750.0,0.2,1521.05,-1511.05,-1412.05,0.0
1760.0,0.2,1529.736,-1519.736,-1420.736,0.0
1770.0,0.2,1538.422,-1528.422,-1429.422,0.0
1780.0,0.2,1547.1080000000002,-1537.1080000000002,-1438.1080000000002,0.0
1790.0,0.2,1555.794,-1545.794,-1446.794,0.0
1800.0,0.2,1564.48,-1554.48,-1455.48,0.0
1810.0,0.2,1573.1660000000002,-1563.1660000000002,-1464.1660000000002,0.0
1820.0,0.2,1581.852,-1571.852,-1472.852,0.0
1830.0,0.2,1590.538,-1580.538,-1481.538,0.0
1840.0,0.2,1599.2240000000002,-1589.2240000000002,-1490.2240000000002,0.0
1850.0,0.2,1607.91,-1597.91,-1498.91,0.0
1860.0,0.2,1616.596,-1606.596,-1507.596,0.0
1870.0,0.2,1625.2820000000002,-1615.2820000000002,-1516.2820000000002,0.0
1880.0,0.2,1633.968,-1623.968,-1524.968,0.0
1890.0,0.2,1642.654,-1632.654,-1533.654,0.0
1900.0,0.2,1651.3400000000001,-1641.3400000000001,-1542.3400000000001,0.0
1910.0,0.2,1660.026,-1650.026,-1551.026,0.0
1920.0,0.2,1668.712,-1658.712,-1559.712,0.0
1930.0,0.2,1677.3980000000001,-1667.3980000000001,-1568.3980000000001,0.0
1940.0,0.2,1686.084,-1676.084,-1577.084,0.0
1950.0,0.2,1694.77,-1684.77,-1585.77,0.0
1960.0,0.2,1703.4560000000001,-1693.4560000000001,-1594.4560000000001,0.0
1970.0,0.2,1712.142,-1702.142,-1603.142,0.0
1980.0,0.2,1720.828,-1710.828,-1611.828,0.0
1990.0,0.2,1729.5140000000001,-1719.5140000000001,-1620.5140000000001,0.0
2000.0,0.2,1738.2,-1728.2,-1629.2,0.0
2010.0,0.2,1746.886,-1736.886,-1637.886,0.0
2020.0,0.2,1755.5720000000001,-1745.5720000000001,-1646.5720000000001,0.0
2030.0,0.2,1764.258,-1754.258,-1655.258,0.0
2040.0,0.2,1772.9440000000002,-1762.9440000000002,-1663.9440000000002,0.0
2050.0,0.2,1781.63,-1771.63,-1672.63,0.0
2060.0,0.2,1790.316,-1780.316,-1681.316,0.0
2070.0,0.2,1799.0020000000002,-1789.0020000000002,-1690.0020000000002,0.0
2080.0,0.2,1807.688,-1797.688,-1698.688,0.0
2090.0,0.2,1816.374,-1806.374,-1707.374,0.0
2100.0,0.2,1825.0600000000002,-1815.0600000000002,-1716.0600000000002,0.0
2110.0,0.2,1833.746,-1823.746,-1724.746,0.0
2120.0,0.2,1842.432,-1832.432,-1733.432,0.0
2130.0,0.2,1851.1180000000002,-1841.1180000000002,-1742.1180000000002,0.0
