distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
1150.0,143.20416512334884,57643.20416512335,-57643.20416512335,-57555.20416512335,1e-10,0.0,1
1160.0,143.279368100815,58143.27936810081,-58143.27936810081,-58055.27936810081,1e-10,0.0,1
1170.0,143.35392555119986,58643.3539255512,-58643.3539255512,-58555.3539255512,1e-10,0.0,1
1180.0,143.42784846239914,59143.4278484624,-59143.4278484624,-59055.4278484624,1e-10,0.0,1
1190.0,143.50114754412724,59643.50114754413,-59643.50114754413,-59555.50114754413,1e-10,0.0,1
1200.0,143.5738332372291,60143.57383323723,-60143.57383323723,-60055.57383323723,1e-10,0.0,1
1210.0,143.64591572260562,60643.645915722605,-60643.645915722605,-60555.645915722605,1e-10,0.0,1
1220.0,143.7174049297716,61143.71740492977,-61143.71740492977,-61055.71740492977,1e-10,0.0,1
1230.0,143.78831054506458,61643.78831054507,-61643.78831054507,-61555.78831054507,1e-10,0.0,1
1240.0,143.85864201952134,62143.85864201952,-62143.85864201952,-62055.85864201952,1e-10,0.0,1
1250.0,143.92840857643773,62643.92840857644,-62643.92840857644,-62555.92840857644,1e-10,0.0,1
1260.0,143.99761921862788,63143.99761921863,-63143.99761921863,-63055.99761921863,1e-10,0.0,1
1270.0,144.06628273539576,63644.066282735395,-63644.066282735395,-63556.066282735395,1e-10,0.0,1
1280.0,144.13440770923398,64144.134407709236,-64144.134407709236,-64056.134407709236,1e-10,0.0,1
1290.0,144.20200252226158,64644.20200252226,-64644.20200252226,-64556.20200252226,1e-10,0.0,1
1300.0,144.26907536241336,65144.26907536241,-65144.26907536241,-65056.26907536241,1e-10,0.0,1
1310.0,144.3356342293919,65644.3356342294,-65644.3356342294,-65556.3356342294,1e-10,0.0,1
1320.0,144.40168694039363,66144.4016869404,-66144.4016869404,-66056.4016869404,1e-10,0.0,1
1330.0,144.46724113561834,66644.46724113562,-66644.46724113562,-66556.46724113562,1e-10,0.0,1
1340.0,144.53230428357278,67144.53230428357,-67144.53230428357,-67056.53230428357,1e-10,0.0,1
1350.0,144.59688368617674,67644.59688368617,-67644.59688368617,-67556.59688368617,1e-10,0.0,1
1360.0,144.66098648368097,68144.66098648368,-68144.66098648368,-68056.66098648368,1e-10,0.0,1
1370.0,144.72461965940477,68644.7246196594,-68644.7246196594,-68556.7246196594,1e-10,0.0,1
1380.0,144.78779004430135,69144.7877900443,-69144.7877900443,-69056.7877900443,1e-10,0.0,1
1390.0,144.85050432135853,69644.85050432135,-69644.85050432135,-69556.85050432135,1e-10,0.0,1
1400.0,144.91276902984137,70144.91276902985,-70144.91276902985,-70056.91276902985,1e-10,0.0,1
1410.0,144.97459056938422,70644.97459056939,-70644.97459056939,-70556.97459056939,1e-10,0.0,1
1420.0,145.03597520393777,71145.03597520394,-71145.03597520394,-71057.03597520394,1e-10,0.0,1
1430.0,145.09692906557785,71645.09692906558,-71645.09692906558,-71557.09692906558,1e-10,0.0,1
1440.0,145.1574581581816,72145.15745815818,-72145.15745815818,-72057.15745815818,1e-10,0.0,1
1450.0,145.21756836097612,72645.21756836098,-72645.21756836098,-72557.21756836098,1e-10,0.0,1
1460.0,145.27726543196536,73145.27726543197,-73145.27726543197,-73057.27726543197,1e-10,0.0,1
1470.0,145.33655501124014,73645.33655501124,-73645.33655501124,-73557.33655501124,1e-10,0.0,1
1480.0,145.39544262417576,74145.39544262417,-74145.39544262417,-74057.39544262417,1e-10,0.0,1
1490.0,145.4539336845221,74645.45393368452,-74645.45393368452,-74557.45393368452,1e-10,0.0,1
1500.0,145.51203349739023,75145.51203349739,-75145.51203349739,-75057.51203349739,1e-10,0.0,1
1510.0,145.56974726214003,75645.56974726214,-75645.56974726214,-75557.56974726214,1e-10,0.0,1
1520.0,145.62708007517207,76145.62708007517,-76145.62708007517,-76057.62708007517,1e-10,0.0,1
1530.0,145.6840369326286,76645.68403693262,-76645.68403693262,-76557.68403693262,1e-10,0.0,1
1540.0,145.7406227330059,77145.740622733,-77145.740622733,-77057.740622733,1e-10,0.0,1
1550.0,145.79684227968247,77645.79684227968,-77645.79684227968,-77557.79684227968,1e-10,0.0,1
1560.0,145.85270028336586,78145.85270028337,-78145.85270028337,-78057.85270028337,1e-10,0.0,1
1570.0,145.9082013644613,78645.90820136447,-78645.90820136447,-78557.90820136447,1e-10,0.0,1
1580.0,145.96335005536508,79145.96335005536,-79145.96335005536,-79057.96335005536,1e-10,0.0,1
1590.0,146.01815080268565,79646.01815080269,-79646.01815080269,-79558.01815080269,1e-10,0.0,1
1600.0,146.0726079693951,80146.0726079694,-80146.0726079694,-80058.0726079694,1e-10,0.0,1
1610.0,146.1267258369136,80646.12672583692,-80646.12672583692,-80558.12672583692,1e-10,0.0,1
1620.0,146.18050860712924,81146.18050860713,-81146.18050860713,-81058.18050860713,1e-10,0.0,1
1630.0,146.23396040435577,81646.23396040435,-81646.23396040435,-81558.23396040435,1e-10,0.0,1
1640.0,146.28708527723057,82146.28708527723,-82146.28708527723,-82058.28708527723,1e-10,0.0,1
1650.0,146.33988720055476,82646.33988720055,-82646.33988720055,-82558.33988720055,1e-10,0.0,1
1660.0,146.39237007707771,83146.39237007708,-83146.39237007708,-83058.39237007708,1e-10,0.0,1
1670.0,146.44453773922828,83646.44453773923,-83646.44453773923,-83558.44453773923,1e-10,0.0,1
1680.0,146.49639395079387,84146.49639395079,-84146.49639395079,-84058.49639395079,1e-10,0.0,1
1690.0,146.54794240855009,84646.54794240855,-84646.54794240855,-84558.54794240855,1e-10,0.0,1
1700.0,146.5991867438421,85146.59918674384,-85146.59918674384,-85058.59918674384,1e-10,0.0,1
1710.0,146.6501305241197,85646.65013052413,-85646.65013052413,-85558.65013052413,1e-10,0.0,1
1720.0,146.70077725442758,86146.70077725443,-86146.70077725443,-86058.70077725443,1e-10,0.0,1
1730.0,146.75113037885254,86646.75113037885,-86646.75113037885,-86558.75113037885,1e-10,0.0,1
1740.0,146.80119328192862,87146.80119328194,-87146.80119328194,-87058.80119328194,1e-10,0.0,1
1750.0,146.8509692900025,87646.85096929,-87646.85096929,-87558.85096929,1e-10,0.0,1
1760.0,146.90046167255963,88146.90046167256,-88146.90046167256,-88058.90046167256,1e-10,0.0,1
1770.0,146.94967364351277,88646.94967364351,-88646.94967364351,-88558.94967364351,1e-10,0.0,1
1780.0,146.99860836245452,89146.99860836245,-89146.99860836245,-89058.99860836245,1e-10,0.0,1
1790.0,147.04726893587448,89647.04726893587,-89647.04726893587,-89559.04726893587,1e-10,0.0,1
1800.0,147.09565841834274,90147.09565841834,-90147.09565841834,-90059.09565841834,1e-10,0.0,1
1810.0,147.1437798136603,90647.14377981366,-90647.14377981366,-90559.14377981366,1e-10,0.0,1
1820.0,147.19163607597812,91147.19163607598,-91147.19163607598,-91059.19163607598,1e-10,0.0,1
1830.0,147.23923011088522,91647.23923011089,-91647.23923011089,-91559.23923011089,1e-10,0.0,1
1840.0,147.28656477646734,92147.28656477647,-92147.28656477647,-92059.28656477647,1e-10,0.0,1
1850.0,147.33364288433688,92647.33364288433,-92647.33364288433,-92559.33364288433,1e-10,0.0,1
1860.0,147.38046720063497,93147.38046720064,-93147.38046720064,-93059.38046720064,1e-10,0.0,1
1870.0,147.42704044700662,93647.427040447,-93647.427040447,-93559.427040447,1e-10,0.0,1
